Date,StateCode,StateName,Alpha,Beta,Gamma,Delta,Omicron
2020-03-12,NY,New York,0,0,0,0,0
2020-03-13,NY,New York,0,0,0,0,0
2020-03-14,NY,New York,0,0,0,0,0
2020-03-15,NY,New York,0,0,0,0,0
2020-03-16,NY,New York,0,0,0,0,0
2020-03-17,NY,New York,0,0,0,0,0
2020-03-18,NY,New York,0,0,0,0,0
2020-03-19,NY,New York,0,0,0,0,0
2020-03-20,NY,New York,0,0,0,0,0
2020-03-21,NY,New York,0,0,0,0,0
2020-03-22,NY,New York,0,0,0,0,0
2020-03-23,NY,New York,0,0,0,0,0
2020-03-24,NY,New York,0,0,0,0,0
2020-03-25,NY,New York,0,0,0,0.000610873549175321,0
2020-03-26,NY,New York,0,0,0,0,0
2020-03-27,NY,New York,0,0,0,0,0
2020-03-28,NY,New York,0,0,0,0,0
2020-03-29,NY,New York,0,0,0,0,0
2020-03-30,NY,New York,0,0,0,0,0
2020-03-31,NY,New York,0,0,0,0,0
2020-04-01,NY,New York,0.00088809946714032,0,0,0,0
2020-04-02,NY,New York,0,0,0,0,0
2020-04-03,NY,New York,0,0,0,0,0
2020-04-04,NY,New York,0,0,0,0,0
2020-04-05,NY,New York,0,0,0,0,0
2020-04-06,NY,New York,0,0,0,0,0
2020-04-07,NY,New York,0,0,0,0,0
2020-04-08,NY,New York,0,0,0,0,0
2020-04-09,NY,New York,0,0,0,0,0
2020-04-10,NY,New York,0,0,0,0,0
2020-04-11,NY,New York,0,0,0,0,0
2020-04-12,NY,New York,0,0,0,0,0
2020-04-13,NY,New York,0,0,0,0,0
2020-04-14,NY,New York,0,0,0,0,0
2020-04-15,NY,New York,0,0,0,0,0
2020-04-16,NY,New York,0,0,0,0,0
2020-04-17,NY,New York,0,0,0,0,0
2020-04-18,NY,New York,0,0,0,0,0
2020-04-19,NY,New York,0,0,0,0,0
2020-04-20,NY,New York,0,0,0,0,0
2020-04-21,NY,New York,0,0,0,0,0
2020-04-22,NY,New York,0,0,0,0,0
2020-04-23,NY,New York,0,0,0,0,0
2020-04-24,NY,New York,0,0,0,0,0
2020-04-25,NY,New York,0,0,0,0,0
2020-04-26,NY,New York,0,0,0,0,0
2020-04-27,NY,New York,0,0,0,0,0
2020-04-28,NY,New York,0,0,0,0,0
2020-04-29,NY,New York,0,0,0,0,0
2020-04-30,NY,New York,0,0,0,0,0
2020-05-01,NY,New York,0,0,0,0,0
2020-05-02,NY,New York,0,0,0,0,0
2020-05-03,NY,New York,0,0,0,0,0
2020-05-04,NY,New York,0,0,0,0,0
2020-05-05,NY,New York,0,0,0,0,0
2020-05-06,NY,New York,0,0,0,0,0
2020-05-07,NY,New York,0,0,0,0,0
2020-05-08,NY,New York,0,0,0,0,0
2020-05-09,NY,New York,0,0,0,0,0
2020-05-10,NY,New York,0,0,0,0,0
2020-05-11,NY,New York,0,0,0,0,0
2020-05-12,NY,New York,0,0,0,0,0
2020-05-13,NY,New York,0,0,0,0,0
2020-05-14,NY,New York,0,0,0,0,0
2020-05-15,NY,New York,0,0,0,0,0
2020-05-16,NY,New York,0,0,0,0,0
2020-05-17,NY,New York,0,0,0,0,0
2020-05-18,NY,New York,0,0,0,0,0
2020-05-19,NY,New York,0,0,0,0,0
2020-05-20,NY,New York,0,0,0,0,0
2020-05-21,NY,New York,0,0,0,0,0
2020-05-22,NY,New York,0,0,0,0,0
2020-05-23,NY,New York,0,0,0,0,0
2020-05-24,NY,New York,0,0,0,0,0
2020-05-25,NY,New York,0,0,0,0,0
2020-05-26,NY,New York,0,0,0,0,0
2020-05-27,NY,New York,0,0,0,0,0
2020-05-28,NY,New York,0,0,0,0,0
2020-05-29,NY,New York,0,0,0,0,0
2020-05-30,NY,New York,0,0,0,0,0
2020-06-01,NY,New York,0,0,0,0,0
2020-06-02,NY,New York,0,0,0,0,0
2020-06-03,NY,New York,0,0,0,0,0
2020-06-04,NY,New York,0,0,0,0,0
2020-06-05,NY,New York,0,0,0,0,0
2020-06-06,NY,New York,0,0,0,0,0
2020-06-07,NY,New York,0,0,0,0,0
2020-06-08,NY,New York,0,0,0,0,0
2020-06-09,NY,New York,0,0,0,0,0
2020-06-10,NY,New York,0,0,0,0,0
2020-06-12,NY,New York,0,0,0,0,0
2020-06-13,NY,New York,0,0,0,0,0
2020-06-14,NY,New York,0,0,0,0,0
2020-06-15,NY,New York,0,0,0,0,0
2020-06-16,NY,New York,0,0,0,0,0
2020-06-17,NY,New York,0,0,0,0,0
2020-06-18,NY,New York,0,0,0,0,0
2020-06-20,NY,New York,0,0,0,0,0
2020-06-21,NY,New York,0,0,0,0,0
2020-06-22,NY,New York,0,0,0,0,0
2020-06-23,NY,New York,0,0,0,0,0
2020-06-24,NY,New York,0,0,0,0,0
2020-06-25,NY,New York,0,0,0,0,0
2020-06-26,NY,New York,0,0,0,0,0
2020-06-27,NY,New York,0,0,0,0,0
2020-06-28,NY,New York,0,0,0,0,0
2020-06-29,NY,New York,0,0,0,0,0
2020-06-30,NY,New York,0,0,0,0,0
2020-07-01,NY,New York,0,0,0,0,0
2020-07-02,NY,New York,0,0,0,0,0
2020-07-03,NY,New York,0,0,0,0,0
2020-07-04,NY,New York,0,0,0,0,0
2020-07-05,NY,New York,0,0,0,0,0
2020-07-06,NY,New York,0,0,0,0,0
2020-07-07,NY,New York,0,0,0,0,0
2020-07-08,NY,New York,0,0,0,0,0
2020-07-09,NY,New York,0,0,0,0,0
2020-07-10,NY,New York,0,0,0,0,0
2020-07-11,NY,New York,0,0,0,0,0
2020-07-13,NY,New York,0,0,0,0,0
2020-07-15,NY,New York,0,0,0,0,0
2020-07-16,NY,New York,0,0,0,0,0
2020-07-17,NY,New York,0,0,0,0,0
2020-07-18,NY,New York,0,0,0,0,0
2020-07-19,NY,New York,0,0,0,0,0
2020-07-20,NY,New York,0,0,0,0,0
2020-07-22,NY,New York,0,0,0,0,0
2020-07-23,NY,New York,0,0,0,0,0
2020-07-24,NY,New York,0,0,0,0,0
2020-07-25,NY,New York,0,0,0,0,0
2020-07-27,NY,New York,0,0,0,0,0
2020-07-28,NY,New York,0,0,0,0,0
2020-07-29,NY,New York,0,0,0,0,0
2020-07-30,NY,New York,0,0,0,0,0
2020-07-31,NY,New York,0,0,0,0,0
2020-08-01,NY,New York,0,0,0,0,0
2020-08-02,NY,New York,0,0,0,0,0
2020-08-03,NY,New York,0,0,0,0,0
2020-08-04,NY,New York,0,0,0,0,0
2020-08-05,NY,New York,0,0,0,0,0
2020-08-06,NY,New York,0,0,0,0,0
2020-08-07,NY,New York,0,0,0,0,0
2020-08-08,NY,New York,0,0,0,0,0
2020-08-09,NY,New York,0,0,0,0,0
