Date,StateCode,StateName,Alpha,Beta,Gamma,Delta,Omicron
2021-01-03,NM,New Mexico,0,0,0,0,0
2021-01-04,NM,New Mexico,0,0,0,0,0
2021-01-05,NM,New Mexico,0,0,0,0,0
2021-01-06,NM,New Mexico,0,0,0,0,0
2021-01-07,NM,New Mexico,0,0,0,0,0
2021-01-08,NM,New Mexico,0,0,0,0,0
2021-01-09,NM,New Mexico,0,0,0,0,0
2021-01-10,NM,New Mexico,0,0,0,0,0
2021-01-11,NM,New Mexico,0,0,0,0,0
2021-01-12,NM,New Mexico,0,0,0,0,0
2021-01-13,NM,New Mexico,0,0,0,0,0
2021-01-14,NM,New Mexico,0,0,0,0,0
2021-01-15,NM,New Mexico,0,0,0,0,0
2021-01-16,NM,New Mexico,0.00731261425959781,0,0,0,0
2021-01-17,NM,New Mexico,0.00363636363636364,0,0,0,0
2021-01-18,NM,New Mexico,0,0,0,0,0
2021-01-19,NM,New Mexico,0,0,0,0,0
2021-01-20,NM,New Mexico,0,0,0,0,0
2021-01-21,NM,New Mexico,0,0,0,0,0
2021-01-22,NM,New Mexico,0,0,0,0,0
2021-01-23,NM,New Mexico,0,0,0,0,0
2021-01-24,NM,New Mexico,0,0,0,0,0
2021-01-25,NM,New Mexico,0,0,0,0,0
2021-01-26,NM,New Mexico,0,0,0,0,0
2021-01-27,NM,New Mexico,0,0,0,0,0
2021-01-28,NM,New Mexico,0,0,0,0,0
2021-01-29,NM,New Mexico,0,0,0,0,0
2021-01-30,NM,New Mexico,0,0,0,0,0
2021-01-31,NM,New Mexico,0,0,0,0,0
2021-02-01,NM,New Mexico,0,0,0,0,0
2021-02-02,NM,New Mexico,0.00248756218905473,0,0,0,0
2021-02-03,NM,New Mexico,0.00261096605744125,0,0,0,0
2021-02-04,NM,New Mexico,0.00264550264550265,0,0,0,0
2021-02-05,NM,New Mexico,0.00265957446808511,0,0,0,0
2021-02-06,NM,New Mexico,0.00279329608938547,0,0,0,0
2021-02-07,NM,New Mexico,0.00273224043715847,0,0,0,0
2021-02-08,NM,New Mexico,0.00275482093663912,0,0,0,0
2021-02-09,NM,New Mexico,0.00275482093663912,0,0,0,0
2021-02-10,NM,New Mexico,0.00579710144927536,0,0,0,0
2021-02-11,NM,New Mexico,0.00597014925373134,0,0,0,0
2021-02-12,NM,New Mexico,0.0117647058823529,0,0,0,0
2021-02-13,NM,New Mexico,0.0116959064327485,0,0,0,0
2021-02-14,NM,New Mexico,0.0116279069767442,0,0,0,0
2021-02-15,NM,New Mexico,0.0134680134680135,0,0,0,0
2021-02-16,NM,New Mexico,0.0103092783505155,0,0,0,0
2021-02-17,NM,New Mexico,0.0133779264214047,0,0,0,0
2021-02-18,NM,New Mexico,0.013745704467354,0,0,0,0
2021-02-19,NM,New Mexico,0.020979020979021,0,0,0,0
2021-02-20,NM,New Mexico,0.0212014134275618,0,0,0,0
2021-02-21,NM,New Mexico,0.0215827338129496,0,0,0,0
2021-02-22,NM,New Mexico,0.159468438538206,0,0,0,0
2021-02-23,NM,New Mexico,0.307277628032345,0,0,0,0
2021-02-24,NM,New Mexico,0.330749354005168,0,0,0,0
2021-02-25,NM,New Mexico,0.320987654320988,0,0,0,0
2021-02-26,NM,New Mexico,0.320388349514563,0,0,0,0
2021-02-27,NM,New Mexico,0.3446088794926,0,0,0,0
2021-02-28,NM,New Mexico,0.338842975206612,0,0,0,0
2021-03-01,NM,New Mexico,0.325925925925926,0,0,0,0
2021-03-02,NM,New Mexico,0.330960854092527,0,0,0,0
2021-03-03,NM,New Mexico,0.3322528363047,0,0,0,0
2021-03-04,NM,New Mexico,0.319314641744548,0,0,0,0
2021-03-05,NM,New Mexico,0.324888226527571,0,0,0,0
2021-03-06,NM,New Mexico,0.31970802919708,0,0,0,0
2021-03-07,NM,New Mexico,0.319424460431655,0,0,0,0
2021-03-08,NM,New Mexico,0.280058651026393,0,0,0,0
2021-03-09,NM,New Mexico,0.205414012738854,0,0,0,0
2021-03-10,NM,New Mexico,0.200626959247649,0,0,0,0
2021-03-11,NM,New Mexico,0.205651491365777,0,0,0,0
2021-03-12,NM,New Mexico,0.217928902627512,0,0,0,0
2021-03-13,NM,New Mexico,0.197324414715719,0,0,0,0
2021-03-14,NM,New Mexico,0.207482993197279,0,0,0,0
2021-03-15,NM,New Mexico,0.213286713286713,0,0,0,0
2021-03-16,NM,New Mexico,0.206463195691203,0,0,0,0
2021-03-17,NM,New Mexico,0.181988742964353,0,0,0,0
2021-03-18,NM,New Mexico,0.206106870229008,0,0,0,0
2021-03-19,NM,New Mexico,0.204280155642023,0,0,0,0
2021-03-20,NM,New Mexico,0.222857142857143,0,0,0,0
2021-03-21,NM,New Mexico,0.232514177693762,0,0,0,0
2021-03-22,NM,New Mexico,0.243713733075435,0,0,0,0
2021-03-23,NM,New Mexico,0.259920634920635,0,0,0,0
2021-03-24,NM,New Mexico,0.261663286004057,0,0,0,0
2021-03-25,NM,New Mexico,0.279835390946502,0,0,0,0
2021-03-26,NM,New Mexico,0.288981288981289,0,0,0,0
2021-03-27,NM,New Mexico,0.283898305084746,0,0,0,0
2021-03-28,NM,New Mexico,0.288981288981289,0,0,0,0
2021-03-29,NM,New Mexico,0.323886639676113,0,0,0,0
2021-03-30,NM,New Mexico,0.35408560311284,0,0,0,0
2021-03-31,NM,New Mexico,0.391969407265774,0,0,0,0
2021-04-01,NM,New Mexico,0.409708737864078,0,0,0,0
2021-04-02,NM,New Mexico,0.423954372623574,0,0,0,0
2021-04-03,NM,New Mexico,0.437847866419295,0,0,0,0
2021-04-04,NM,New Mexico,0.440677966101695,0,0,0,0
2021-04-05,NM,New Mexico,0.460348162475822,0,0,0,0
2021-04-06,NM,New Mexico,0.477477477477477,0,0,0,0
2021-04-07,NM,New Mexico,0.493554327808471,0,0,0,0
2021-04-08,NM,New Mexico,0.496212121212121,0,0,0,0
2021-04-09,NM,New Mexico,0.502958579881657,0,0,0,0
2021-04-10,NM,New Mexico,0.515030060120241,0,0.0280561122244489,0,0
2021-04-11,NM,New Mexico,0.521649484536083,0,0.0268041237113402,0,0
2021-04-12,NM,New Mexico,0.532467532467533,0,0.025974025974026,0,0
2021-04-13,NM,New Mexico,0.534675615212528,0,0.029082774049217,0,0
2021-04-14,NM,New Mexico,0.558962264150943,0,0.0283018867924528,0,0
2021-04-15,NM,New Mexico,0.553191489361702,0,0.0236406619385343,0,0
2021-04-16,NM,New Mexico,0.56019656019656,0,0.0245700245700246,0,0
2021-04-17,NM,New Mexico,0.557333333333333,0,0.0213333333333333,0,0
2021-04-18,NM,New Mexico,0.566929133858268,0.0131233595800525,0.0236220472440945,0,0
2021-04-19,NM,New Mexico,0.572519083969466,0.0101781170483461,0.0254452926208651,0,0
2021-04-20,NM,New Mexico,0.598240469208211,0.0117302052785924,0.0205278592375367,0,0
2021-04-21,NM,New Mexico,0.613832853025937,0.0115273775216138,0.0201729106628242,0,0
2021-04-22,NM,New Mexico,0.616621983914209,0.0107238605898123,0.0294906166219839,0,0
2021-04-23,NM,New Mexico,0.62402088772846,0.00783289817232376,0.0261096605744125,0,0
2021-04-24,NM,New Mexico,0.626865671641791,0.00746268656716418,0.0223880597014925,0,0
2021-04-25,NM,New Mexico,0.626237623762376,0.00495049504950495,0.0247524752475248,0,0
2021-04-26,NM,New Mexico,0.638820638820639,0.00491400491400491,0.0245700245700246,0,0
2021-04-27,NM,New Mexico,0.653846153846154,0,0.0264423076923077,0,0
2021-04-28,NM,New Mexico,0.656884875846501,0,0.0293453724604966,0,0
2021-04-29,NM,New Mexico,0.655701754385965,0,0.0350877192982456,0,0
2021-04-30,NM,New Mexico,0.666666666666667,0,0.0348583877995643,0,0
2021-05-01,NM,New Mexico,0.667396061269147,0,0.0350109409190372,0,0
2021-05-02,NM,New Mexico,0.666666666666667,0,0.0337837837837838,0,0
2021-05-03,NM,New Mexico,0.67706013363029,0,0.0334075723830735,0,0
2021-05-04,NM,New Mexico,0.675052410901468,0,0.0356394129979036,0,0
2021-05-05,NM,New Mexico,0.656,0,0.038,0.024,0
2021-05-06,NM,New Mexico,0.66,0,0.032,0.032,0
2021-05-07,NM,New Mexico,0.658,0,0.038,0.03,0
2021-05-08,NM,New Mexico,0.651452282157676,0,0.0394190871369295,0.0311203319502075,0
2021-05-09,NM,New Mexico,0.655670103092784,0,0.0412371134020619,0.0309278350515464,0
2021-05-10,NM,New Mexico,0.650698602794411,0,0.0439121756487026,0.031936127744511,0
2021-05-11,NM,New Mexico,0.627906976744186,0,0.0387596899224806,0.0329457364341085,0
2021-05-12,NM,New Mexico,0.624229979466119,0,0.0369609856262834,0.0328542094455852,0
2021-05-13,NM,New Mexico,0.636916835699797,0,0.0385395537525355,0.0324543610547667,0
2021-05-14,NM,New Mexico,0.619631901840491,0,0.0429447852760736,0.032719836400818,0
