Date,StateCode,StateName,Alpha,Beta,Gamma,Delta,Omicron
2020-11-08,NC,North Carolina,0,0,0,0,0
2020-11-09,NC,North Carolina,0,0,0,0,0
2020-11-10,NC,North Carolina,0,0,0,0,0
2020-11-11,NC,North Carolina,0,0,0,0,0
2020-11-12,NC,North Carolina,0,0,0,0,0
2020-11-13,NC,North Carolina,0,0,0,0,0
2020-11-14,NC,North Carolina,0,0,0,0,0
2020-11-16,NC,North Carolina,0,0,0,0,0
2020-11-17,NC,North Carolina,0,0,0,0,0
2020-11-18,NC,North Carolina,0,0,0,0,0
2020-11-19,NC,North Carolina,0,0,0,0,0
2020-11-20,NC,North Carolina,0,0,0,0,0
2020-11-21,NC,North Carolina,0,0,0,0,0
2020-11-23,NC,North Carolina,0.00833333333333333,0,0,0,0
2020-11-24,NC,North Carolina,0.00757575757575758,0,0,0,0
2020-11-25,NC,North Carolina,0.00757575757575758,0,0,0,0
2020-11-27,NC,North Carolina,0.00793650793650794,0,0,0,0
2020-11-28,NC,North Carolina,0.00847457627118644,0,0,0,0
2020-11-30,NC,North Carolina,0.0087719298245614,0,0,0,0
2020-12-01,NC,North Carolina,0.00869565217391304,0,0,0,0
2020-12-02,NC,North Carolina,0.00840336134453782,0,0,0,0
2020-12-03,NC,North Carolina,0.0091743119266055,0,0,0,0
2020-12-04,NC,North Carolina,0.0091743119266055,0,0,0,0
2020-12-05,NC,North Carolina,0.00980392156862745,0,0,0,0
2020-12-07,NC,North Carolina,0.0114942528735632,0,0,0,0
2020-12-08,NC,North Carolina,0.012987012987013,0,0,0,0
2020-12-09,NC,North Carolina,0.0114942528735632,0,0,0,0
2020-12-10,NC,North Carolina,0.0103092783505155,0,0,0,0
2020-12-11,NC,North Carolina,0,0,0,0,0
2020-12-12,NC,North Carolina,0,0,0,0,0
2020-12-14,NC,North Carolina,0,0,0,0,0
2020-12-15,NC,North Carolina,0,0,0,0,0
2020-12-16,NC,North Carolina,0,0,0,0,0
2020-12-17,NC,North Carolina,0,0,0,0,0
2020-12-18,NC,North Carolina,0,0,0,0,0
2020-12-19,NC,North Carolina,0,0,0,0,0
2020-12-21,NC,North Carolina,0,0,0,0,0
2020-12-22,NC,North Carolina,0,0,0,0,0
2020-12-23,NC,North Carolina,0,0,0,0,0
2020-12-26,NC,North Carolina,0,0,0,0,0
2020-12-27,NC,North Carolina,0,0,0,0,0
2020-12-28,NC,North Carolina,0,0,0,0,0
2020-12-29,NC,North Carolina,0,0,0,0,0
2020-12-30,NC,North Carolina,0,0,0,0,0
2020-12-31,NC,North Carolina,0,0,0,0,0
2021-01-02,NC,North Carolina,0,0,0,0,0
2021-01-03,NC,North Carolina,0,0,0,0,0
2021-01-04,NC,North Carolina,0,0,0,0,0
2021-01-05,NC,North Carolina,0,0,0,0,0
2021-01-06,NC,North Carolina,0,0,0,0,0
2021-01-07,NC,North Carolina,0,0,0,0,0
2021-01-08,NC,North Carolina,0,0,0,0,0
2021-01-09,NC,North Carolina,0,0,0,0,0
2021-01-10,NC,North Carolina,0,0,0,0,0
2021-01-11,NC,North Carolina,0.00336700336700337,0,0,0,0
2021-01-12,NC,North Carolina,0.00325732899022801,0,0,0,0
2021-01-13,NC,North Carolina,0.00307692307692308,0,0,0,0
2021-01-14,NC,North Carolina,0.00867052023121387,0,0,0,0
2021-01-15,NC,North Carolina,0.0079155672823219,0,0,0,0
2021-01-16,NC,North Carolina,0.0077319587628866,0,0,0,0
2021-01-17,NC,North Carolina,0.0114613180515759,0,0,0,0
2021-01-18,NC,North Carolina,0.0112044817927171,0,0,0,0
2021-01-19,NC,North Carolina,0.00945626477541371,0,0,0,0
2021-01-20,NC,North Carolina,0.00829875518672199,0,0,0,0
2021-01-21,NC,North Carolina,0.00785854616895874,0,0,0,0
2021-01-22,NC,North Carolina,0.0072202166064982,0,0,0,0
2021-01-23,NC,North Carolina,0.00863557858376511,0,0,0,0
2021-01-24,NC,North Carolina,0.00821018062397373,0,0,0,0
2021-01-25,NC,North Carolina,0.0060790273556231,0,0,0,0
2021-01-26,NC,North Carolina,0.0134770889487871,0,0,0,0
2021-01-27,NC,North Carolina,0.0145278450363196,0,0,0,0
2021-01-28,NC,North Carolina,0.0122850122850123,0,0,0,0
2021-01-29,NC,North Carolina,0.0136476426799007,0,0,0,0
2021-01-30,NC,North Carolina,0.013681592039801,0,0,0,0
2021-01-31,NC,North Carolina,0.0126582278481013,0,0,0,0
2021-02-01,NC,North Carolina,0.0130177514792899,0,0,0,0
2021-02-02,NC,North Carolina,0.0128956623681125,0,0,0,0
2021-02-03,NC,North Carolina,0.0144230769230769,0,0,0,0
2021-02-04,NC,North Carolina,0.0145454545454545,0,0,0,0
2021-02-05,NC,North Carolina,0.01468788249694,0,0,0,0
2021-02-06,NC,North Carolina,0.0134969325153374,0,0,0,0
2021-02-07,NC,North Carolina,0.01338199513382,0,0,0,0
2021-02-08,NC,North Carolina,0.0127462340672074,0.00579374275782155,0,0,0
2021-02-09,NC,North Carolina,0.00702576112412178,0.00468384074941452,0,0,0
2021-02-10,NC,North Carolina,0.00817757009345794,0.0058411214953271,0,0,0
2021-02-11,NC,North Carolina,0.00936524453694069,0.0072840790842872,0,0,0
2021-02-12,NC,North Carolina,0.00856327307326356,0.00856327307326356,0,0,0
2021-02-13,NC,North Carolina,0.0111111111111111,0.0111111111111111,0,0,0
2021-02-14,NC,North Carolina,0.012646793134598,0.010840108401084,0,0,0
2021-02-15,NC,North Carolina,0.0178412132024978,0.0107047279214987,0,0,0
2021-02-16,NC,North Carolina,0.0188340807174888,0.010762331838565,0,0,0
2021-02-17,NC,North Carolina,0.0208695652173913,0.00956521739130435,0,0,0
2021-02-18,NC,North Carolina,0.0214408233276158,0.00943396226415094,0,0,0
2021-02-19,NC,North Carolina,0.0240756663800516,0.0103181427343078,0,0,0
2021-02-20,NC,North Carolina,0.0249169435215947,0.0116279069767442,0,0,0
2021-02-21,NC,North Carolina,0.0282714054927302,0.0177705977382876,0,0,0
2021-02-22,NC,North Carolina,0.0319233838786911,0.0167597765363129,0,0,0
2021-02-23,NC,North Carolina,0.0367585630743525,0.0192147034252297,0,0,0
2021-02-24,NC,North Carolina,0.040274207369323,0.0197086546700943,0,0,0
2021-02-25,NC,North Carolina,0.0464058234758872,0.0209281164695177,0,0,0
2021-02-26,NC,North Carolina,0.0532710280373832,0.0233644859813084,0,0,0
2021-02-27,NC,North Carolina,0.0564440263405456,0.0225776105362182,0,0,0
2021-02-28,NC,North Carolina,0.0586046511627907,0.0241860465116279,0,0,0
2021-03-01,NC,North Carolina,0.0625620655412115,0.0278053624627607,0,0,0
2021-03-02,NC,North Carolina,0.0756385068762279,0.0304518664047151,0,0,0
2021-03-03,NC,North Carolina,0.0861423220973783,0.0308988764044944,0,0,0
2021-03-04,NC,North Carolina,0.0920464700625558,0.033065236818588,0,0,0
2021-03-05,NC,North Carolina,0.0932735426008969,0.0358744394618834,0,0,0
2021-03-06,NC,North Carolina,0.0986175115207373,0.0377880184331797,0,0,0
2021-03-07,NC,North Carolina,0.102759276879163,0.0323501427212179,0,0,0
2021-03-08,NC,North Carolina,0.115168539325843,0.0337078651685393,0,0,0
2021-03-09,NC,North Carolina,0.126926563916591,0.0317316409791478,0,0,0
2021-03-10,NC,North Carolina,0.130472103004292,0.032618025751073,0,0,0
2021-03-11,NC,North Carolina,0.133676092544987,0.0317052270779777,0,0,0
2021-03-12,NC,North Carolina,0.151223776223776,0.0323426573426573,0,0,0
2021-03-13,NC,North Carolina,0.159493670886076,0.0362869198312236,0,0,0
2021-03-14,NC,North Carolina,0.164141414141414,0.0353535353535354,0,0,0
2021-03-15,NC,North Carolina,0.173807599029911,0.0379951495553759,0,0,0
2021-03-16,NC,North Carolina,0.185457516339869,0.0449346405228758,0,0,0
2021-03-17,NC,North Carolina,0.198961937716263,0.0493079584775087,0,0,0
2021-03-18,NC,North Carolina,0.210619469026549,0.0504424778761062,0,0,0
2021-03-19,NC,North Carolina,0.225085910652921,0.0515463917525773,0,0,0
2021-03-20,NC,North Carolina,0.234893617021277,0.0519148936170213,0,0,0
2021-03-21,NC,North Carolina,0.246830092983939,0.0524091293322063,0,0,0
