Date,StateCode,StateName,Alpha,Beta,Gamma,Delta,Omicron
2020-04-07,MI,Michigan,0,0,0,0,0
2020-04-08,MI,Michigan,0,0,0,0,0
2020-04-09,MI,Michigan,0,0,0,0,0
2020-04-10,MI,Michigan,0,0,0,0,0
2020-04-11,MI,Michigan,0,0,0,0,0
2020-04-12,MI,Michigan,0,0,0,0,0
2020-04-13,MI,Michigan,0,0,0,0,0
2020-04-14,MI,Michigan,0,0,0,0,0
2020-04-15,MI,Michigan,0,0,0,0,0
2020-04-16,MI,Michigan,0,0,0,0,0
2020-04-17,MI,Michigan,0,0,0,0,0
2020-04-18,MI,Michigan,0,0,0,0,0
2020-04-19,MI,Michigan,0,0,0,0,0
2020-04-20,MI,Michigan,0.00757575757575758,0,0,0,0
2020-04-21,MI,Michigan,0.00395256916996047,0,0,0,0
2020-04-22,MI,Michigan,0.00403225806451613,0,0,0,0
2020-04-23,MI,Michigan,0.00393700787401575,0,0,0,0
2020-04-24,MI,Michigan,0.0037593984962406,0,0,0,0
2020-04-25,MI,Michigan,0.00396825396825397,0,0,0,0
2020-04-26,MI,Michigan,0,0,0,0,0
2020-04-27,MI,Michigan,0,0,0,0,0
2020-04-28,MI,Michigan,0,0,0,0,0
2020-04-29,MI,Michigan,0,0,0,0,0
2020-04-30,MI,Michigan,0,0,0,0,0
2020-05-01,MI,Michigan,0,0,0,0,0
2020-05-03,MI,Michigan,0,0,0,0,0
2020-05-04,MI,Michigan,0,0,0,0,0
2020-05-05,MI,Michigan,0,0,0,0,0
2020-05-06,MI,Michigan,0,0,0,0,0
2020-05-07,MI,Michigan,0,0,0,0,0
2020-05-08,MI,Michigan,0,0,0,0,0
2020-05-09,MI,Michigan,0,0,0,0,0
2020-05-10,MI,Michigan,0,0,0,0,0
2020-05-11,MI,Michigan,0,0,0,0,0
2020-05-12,MI,Michigan,0,0,0,0,0
2020-05-13,MI,Michigan,0,0,0,0,0
2020-05-14,MI,Michigan,0,0,0,0,0
2020-05-15,MI,Michigan,0,0,0,0,0
2020-05-16,MI,Michigan,0,0,0,0,0
2020-05-17,MI,Michigan,0,0,0,0,0
2020-05-18,MI,Michigan,0,0,0,0,0
2020-05-19,MI,Michigan,0,0,0,0,0
2020-05-20,MI,Michigan,0,0,0,0,0
2020-05-21,MI,Michigan,0,0,0,0,0
2020-05-22,MI,Michigan,0,0,0,0,0
2020-05-25,MI,Michigan,0,0,0,0,0
2020-05-26,MI,Michigan,0,0,0,0,0
2020-05-27,MI,Michigan,0,0,0,0,0
2020-05-28,MI,Michigan,0,0,0,0,0
2020-05-29,MI,Michigan,0,0,0,0,0
2020-05-30,MI,Michigan,0,0,0,0,0
2020-05-31,MI,Michigan,0,0,0,0,0
2020-06-01,MI,Michigan,0,0,0,0,0
2020-06-02,MI,Michigan,0,0,0,0,0
2020-06-04,MI,Michigan,0,0,0,0,0
2020-06-05,MI,Michigan,0,0,0,0,0
2020-06-09,MI,Michigan,0,0,0,0,0
2020-06-10,MI,Michigan,0,0,0,0,0
2020-06-11,MI,Michigan,0,0,0,0,0
2020-06-14,MI,Michigan,0,0,0,0,0
2020-06-15,MI,Michigan,0,0,0,0,0
2020-06-16,MI,Michigan,0,0,0,0,0
2020-06-17,MI,Michigan,0,0,0,0,0
2020-06-19,MI,Michigan,0,0,0,0,0
2020-06-23,MI,Michigan,0,0,0,0,0
2020-06-24,MI,Michigan,0,0,0,0,0
2020-06-25,MI,Michigan,0,0,0,0,0
2020-06-26,MI,Michigan,0,0,0,0,0
