date,total_count,lineage_count,lineage,prevalence,prevalence_rolling,State
2021-06-08,25,1,a.2.5,0.04,0.0642201834862385,Tennessee
2021-04-22,95,1,ay.1,0.0105263157894737,0.0162412993039443,Tennessee
2021-04-23,0,0,ay.1,0,0.00837320574162679,Tennessee
2021-04-24,0,0,ay.1,0,0.00580912863070539,Tennessee
2021-04-25,0,0,ay.1,0,0.00429447852760736,Tennessee
2021-04-26,0,0,ay.1,0,0.00335088559119196,Tennessee
2021-04-27,0,0,ay.1,0,0.00290335960182497,Tennessee
2021-04-28,0,0,ay.1,0,0.0024390243902439,Tennessee
2021-04-29,0,0,ay.1,0,0,Tennessee
2021-04-30,0,0,ay.1,0,0,Tennessee
2021-05-01,0,0,ay.1,0,0,Tennessee
2021-05-02,0,0,ay.1,0,0,Tennessee
2021-05-03,0,0,ay.1,0,0,Tennessee
2021-05-04,0,0,ay.1,0,0,Tennessee
2021-05-05,0,0,ay.1,0,0,Tennessee
2021-05-06,0,0,ay.1,0,0,Tennessee
2021-05-07,0,0,ay.1,0,0,Tennessee
2021-05-08,0,0,ay.1,0,0,Tennessee
2021-05-09,0,0,ay.1,0,0,Tennessee
2021-05-10,0,0,ay.1,0,0,Tennessee
2021-05-11,0,0,ay.1,0,0,Tennessee
2021-05-12,0,0,ay.1,0,0,Tennessee
2021-05-13,0,0,ay.1,0,0,Tennessee
2021-05-14,0,0,ay.1,0,0,Tennessee
2021-05-15,0,0,ay.1,0,0,Tennessee
2021-05-16,0,0,ay.1,0,0,Tennessee
2021-05-17,0,0,ay.1,0,0,Tennessee
2021-05-18,0,0,ay.1,0,0,Tennessee
2021-05-19,0,0,ay.1,0,0,Tennessee
2021-05-20,0,0,ay.1,0,0,Tennessee
2021-05-21,0,0,ay.1,0,0,Tennessee
2021-05-22,0,0,ay.1,0,0,Tennessee
2021-05-23,0,0,ay.1,0,0,Tennessee
2021-05-24,0,0,ay.1,0,0,Tennessee
2021-05-25,0,0,ay.1,0,0,Tennessee
2021-05-26,0,0,ay.1,0,0,Tennessee
2021-05-27,0,0,ay.1,0,0,Tennessee
2021-05-28,0,0,ay.1,0,0,Tennessee
2021-05-29,0,0,ay.1,0,0,Tennessee
2021-05-30,0,0,ay.1,0,0,Tennessee
2021-05-31,0,0,ay.1,0,0,Tennessee
2021-06-01,0,0,ay.1,0,0,Tennessee
2021-06-02,0,0,ay.1,0,0,Tennessee
2021-06-03,0,0,ay.1,0,0,Tennessee
2021-06-04,0,0,ay.1,0,0,Tennessee
2021-06-05,0,0,ay.1,0,0,Tennessee
2021-06-06,0,0,ay.1,0,0,Tennessee
2021-06-07,0,0,ay.1,0,0,Tennessee
2021-06-08,0,0,ay.1,0,0,Tennessee
2021-06-09,0,0,ay.1,0,0,Tennessee
2021-06-10,0,0,ay.1,0,0,Tennessee
2021-06-11,0,0,ay.1,0,0,Tennessee
2021-06-12,0,0,ay.1,0,0,Tennessee
2021-06-13,0,0,ay.1,0,0,Tennessee
2021-06-14,0,0,ay.1,0,0,Tennessee
2021-06-15,0,0,ay.1,0,0,Tennessee
2021-06-16,0,0,ay.1,0,0,Tennessee
2021-06-17,0,0,ay.1,0,0,Tennessee
2021-06-18,0,0,ay.1,0,0,Tennessee
2021-06-19,0,0,ay.1,0,0,Tennessee
2021-06-20,0,0,ay.1,0,0,Tennessee
2021-06-21,0,0,ay.1,0,0,Tennessee
2021-06-22,0,0,ay.1,0,0,Tennessee
2021-06-23,0,0,ay.1,0,0,Tennessee
2021-06-24,0,0,ay.1,0,0,Tennessee
2021-06-25,0,0,ay.1,0,0,Tennessee
2021-06-26,0,0,ay.1,0,0,Tennessee
2021-06-27,0,0,ay.1,0,0,Tennessee
2021-06-28,0,0,ay.1,0,0,Tennessee
2021-06-29,0,0,ay.1,0,0,Tennessee
2021-06-30,0,0,ay.1,0,0,Tennessee
2021-07-01,0,0,ay.1,0,0,Tennessee
2021-07-02,0,0,ay.1,0,0,Tennessee
2021-07-03,0,0,ay.1,0,0,Tennessee
2021-07-04,0,0,ay.1,0,0,Tennessee
2021-07-05,0,0,ay.1,0,0,Tennessee
2021-07-06,0,0,ay.1,0,0,Tennessee
2021-07-07,0,0,ay.1,0,0,Tennessee
2021-07-08,0,0,ay.1,0,0,Tennessee
2021-07-09,0,0,ay.1,0,0,Tennessee
2021-07-10,0,0,ay.1,0,0,Tennessee
2021-07-11,0,0,ay.1,0,0,Tennessee
2021-07-12,0,0,ay.1,0,0,Tennessee
2021-07-13,0,0,ay.1,0,0,Tennessee
2021-07-14,0,0,ay.1,0,0,Tennessee
2021-07-15,0,0,ay.1,0,0,Tennessee
2021-07-16,0,0,ay.1,0,0,Tennessee
2021-07-17,0,0,ay.1,0,0,Tennessee
2021-07-18,0,0,ay.1,0,0,Tennessee
2021-07-19,0,0,ay.1,0,0,Tennessee
2021-07-20,0,0,ay.1,0,0,Tennessee
2021-07-21,0,0,ay.1,0,0,Tennessee
2021-07-22,0,0,ay.1,0,0,Tennessee
2021-07-23,0,0,ay.1,0,0,Tennessee
2021-07-24,0,0,ay.1,0,0,Tennessee
2021-07-25,0,0,ay.1,0,0,Tennessee
2021-07-26,0,0,ay.1,0,0,Tennessee
2021-07-27,0,0,ay.1,0,0,Tennessee
2021-07-28,0,0,ay.1,0,0,Tennessee
