date,total_count,lineage_count,lineage,prevalence,prevalence_rolling,State
2020-01-19,2,2,a,1,1,Washington
2020-01-20,0,0,a,0,1,Washington
2020-01-21,0,0,a,0,1,Washington
2020-01-22,0,0,a,0,1,Washington
2020-01-23,0,0,a,0,1,Washington
2020-01-24,0,0,a,0,1,Washington
2020-01-25,2,2,a,1,1,Washington
2020-01-26,0,0,a,0,1,Washington
2020-01-27,0,0,a,0,1,Washington
2020-01-28,0,0,a,0,1,Washington
2020-01-29,0,0,a,0,1,Washington
2020-01-30,0,0,a,0,1,Washington
2020-01-31,0,0,a,0,1,Washington
2020-02-01,0,0,a,0,0,Washington
2020-02-02,0,0,a,0,0,Washington
2020-02-03,0,0,a,0,0,Washington
2020-02-04,0,0,a,0,0,Washington
2020-02-05,0,0,a,0,0,Washington
2020-02-06,0,0,a,0,0,Washington
2020-02-07,0,0,a,0,0,Washington
2020-02-08,0,0,a,0,0,Washington
2020-02-09,0,0,a,0,0,Washington
2020-02-10,0,0,a,0,0,Washington
2020-02-11,0,0,a,0,0,Washington
2020-02-12,0,0,a,0,0,Washington
2020-02-13,0,0,a,0,0,Washington
2020-02-14,0,0,a,0,0,Washington
2020-02-15,0,0,a,0,0,Washington
2020-02-16,0,0,a,0,0,Washington
2020-02-17,0,0,a,0,0,Washington
2020-02-18,0,0,a,0,0,Washington
2020-02-19,0,0,a,0,0,Washington
2020-02-20,0,0,a,0,0,Washington
2020-02-21,0,0,a,0,0,Washington
2020-02-22,0,0,a,0,0,Washington
2020-02-23,0,0,a,0,0,Washington
2020-02-24,0,0,a,0,0,Washington
2020-02-25,0,0,a,0,0,Washington
2020-02-26,0,0,a,0,0,Washington
2020-02-27,0,0,a,0,0,Washington
2020-02-28,0,0,a,0,0,Washington
2020-02-29,0,0,a,0,0,Washington
2020-03-01,0,0,a,0,0,Washington
2020-03-02,0,0,a,0,0,Washington
2020-03-03,42,1,a,0.0238095238095238,0.00576923076923077,Washington
2020-03-04,0,0,a,0,0.00515463917525773,Washington
2020-03-05,0,0,a,0,0.00404858299595142,Washington
2020-03-06,0,0,a,0,0.00408997955010225,Washington
2020-03-07,0,0,a,0,0.00455927051671733,Washington
2020-03-08,0,0,a,0,0.00453001132502831,Washington
2020-03-09,0,0,a,0,0.0051440329218107,Washington
2020-03-10,0,0,a,0,0,Washington
2020-03-11,0,0,a,0,0,Washington
2020-03-12,0,0,a,0,0,Washington
2020-03-13,119,1,a,0.00840336134453782,0.00315457413249211,Washington
2020-03-14,0,0,a,0,0.00268817204301075,Washington
2020-03-15,0,0,a,0,0.00251730648206419,Washington
2020-03-16,95,2,a,0.0210526315789474,0.00646970023722234,Washington
2020-03-17,0,0,a,0,0.00629150646627053,Washington
2020-03-18,0,0,a,0,0.00610376398779247,Washington
2020-03-19,0,0,a,0,0.00574382538770821,Washington
2020-03-20,0,0,a,0,0.00393959290873276,Washington
2020-03-21,0,0,a,0,0.00416883793642522,Washington
2020-03-22,0,0,a,0,0.00438212094653812,Washington
2020-03-23,0,0,a,0,0,Washington
2020-03-24,0,0,a,0,0,Washington
2020-03-25,0,0,a,0,0,Washington
2020-03-26,0,0,a,0,0,Washington
2020-03-27,0,0,a,0,0,Washington
2020-03-28,0,0,a,0,0,Washington
2020-03-29,0,0,a,0,0,Washington
2020-03-30,0,0,a,0,0,Washington
2020-03-31,0,0,a,0,0,Washington
2020-04-01,0,0,a,0,0,Washington
2020-04-02,66,3,a,0.0454545454545455,0.00462962962962963,Washington
2020-04-03,0,0,a,0,0.00513698630136986,Washington
2020-04-04,0,0,a,0,0.00566037735849057,Washington
2020-04-05,0,0,a,0,0.00602409638554217,Washington
2020-04-06,0,0,a,0,0.00652173913043478,Washington
2020-04-07,0,0,a,0,0.00806451612903226,Washington
2020-04-08,0,0,a,0,0.00986842105263158,Washington
2020-04-09,0,0,a,0,0,Washington
2020-04-10,0,0,a,0,0,Washington
2020-04-11,0,0,a,0,0,Washington
2020-04-12,0,0,a,0,0,Washington
2020-04-13,0,0,a,0,0,Washington
2020-04-14,0,0,a,0,0,Washington
2020-04-15,0,0,a,0,0,Washington
2020-04-16,0,0,a,0,0,Washington
2020-04-17,0,0,a,0,0,Washington
2020-04-18,0,0,a,0,0,Washington
2020-04-19,0,0,a,0,0,Washington
2020-04-20,0,0,a,0,0,Washington
2020-04-21,0,0,a,0,0,Washington
2020-04-22,0,0,a,0,0,Washington
2020-04-23,0,0,a,0,0,Washington
2020-04-24,0,0,a,0,0,Washington
2020-04-25,0,0,a,0,0,Washington
2020-04-26,0,0,a,0,0,Washington
2020-04-27,0,0,a,0,0,Washington
2020-04-28,0,0,a,0,0,Washington
2020-04-29,0,0,a,0,0,Washington
2020-04-30,0,0,a,0,0,Washington
2020-05-01,0,0,a,0,0,Washington
2020-05-02,0,0,a,0,0,Washington
2020-05-03,0,0,a,0,0,Washington
2020-05-04,0,0,a,0,0,Washington
2020-05-05,0,0,a,0,0,Washington
2020-05-06,0,0,a,0,0,Washington
2020-05-07,0,0,a,0,0,Washington
2020-05-08,0,0,a,0,0,Washington
2020-05-09,0,0,a,0,0,Washington
2020-05-10,0,0,a,0,0,Washington
2020-05-11,0,0,a,0,0,Washington
2020-05-12,0,0,a,0,0,Washington
2020-05-13,0,0,a,0,0,Washington
2020-05-14,0,0,a,0,0,Washington
2020-05-15,0,0,a,0,0,Washington
2020-05-16,0,0,a,0,0,Washington
2020-05-17,0,0,a,0,0,Washington
2020-05-18,0,0,a,0,0,Washington
2020-05-19,0,0,a,0,0,Washington
2020-05-20,0,0,a,0,0,Washington
2020-05-21,0,0,a,0,0,Washington
2020-05-22,0,0,a,0,0,Washington
2020-05-23,0,0,a,0,0,Washington
2020-05-24,0,0,a,0,0,Washington
2020-05-25,0,0,a,0,0,Washington
2020-05-26,83,1,a,0.0120481927710843,0.00510204081632653,Washington
2020-05-27,0,0,a,0,0.00389105058365759,Washington
2020-05-28,0,0,a,0,0.00387596899224806,Washington
2020-05-29,0,0,a,0,0.00312989045383412,Washington
2020-05-30,0,0,a,0,0.00308324768756423,Washington
2020-05-31,0,0,a,0,0.00298730395817774,Washington
2020-06-01,0,0,a,0,0.0024975024975025,Washington
2020-06-02,0,0,a,0,0,Washington
2020-06-03,0,0,a,0,0,Washington
2020-06-04,0,0,a,0,0,Washington
2020-06-05,0,0,a,0,0,Washington
2020-06-06,0,0,a,0,0,Washington
2020-06-07,0,0,a,0,0,Washington
2020-06-08,0,0,a,0,0,Washington
2020-06-09,0,0,a,0,0,Washington
2020-06-10,0,0,a,0,0,Washington
2020-06-11,0,0,a,0,0,Washington
2020-06-12,0,0,a,0,0,Washington
2020-06-13,0,0,a,0,0,Washington
2020-06-14,0,0,a,0,0,Washington
2020-06-15,0,0,a,0,0,Washington
2020-06-16,0,0,a,0,0,Washington
2020-06-17,0,0,a,0,0,Washington
2020-06-18,0,0,a,0,0,Washington
2020-06-19,0,0,a,0,0,Washington
2020-06-20,0,0,a,0,0,Washington
2020-06-21,0,0,a,0,0,Washington
2020-06-22,0,0,a,0,0,Washington
2020-06-23,0,0,a,0,0,Washington
2020-06-24,0,0,a,0,0,Washington
2020-06-25,0,0,a,0,0,Washington
2020-06-26,0,0,a,0,0,Washington
2020-06-27,0,0,a,0,0,Washington
2020-06-28,0,0,a,0,0,Washington
2020-06-29,0,0,a,0,0,Washington
2020-06-30,0,0,a,0,0,Washington
2020-07-01,0,0,a,0,0,Washington
2020-07-02,0,0,a,0,0,Washington
2020-07-03,0,0,a,0,0,Washington
2020-07-04,0,0,a,0,0,Washington
2020-07-05,0,0,a,0,0,Washington
2020-07-06,0,0,a,0,0,Washington
2020-07-07,0,0,a,0,0,Washington
2020-07-08,0,0,a,0,0,Washington
2020-07-09,0,0,a,0,0,Washington
2020-07-10,0,0,a,0,0,Washington
2020-07-11,0,0,a,0,0,Washington
2020-07-12,0,0,a,0,0,Washington
2020-07-13,0,0,a,0,0,Washington
2020-07-14,0,0,a,0,0,Washington
2020-07-15,0,0,a,0,0,Washington
2020-07-16,0,0,a,0,0,Washington
2020-07-17,0,0,a,0,0,Washington
2020-07-18,0,0,a,0,0,Washington
2020-07-19,0,0,a,0,0,Washington
2020-07-20,0,0,a,0,0,Washington
2020-07-21,0,0,a,0,0,Washington
2020-07-22,0,0,a,0,0,Washington
2020-07-23,0,0,a,0,0,Washington
2020-07-24,0,0,a,0,0,Washington
2020-07-25,0,0,a,0,0,Washington
2020-07-26,0,0,a,0,0,Washington
2020-07-27,0,0,a,0,0,Washington
2020-07-28,0,0,a,0,0,Washington
2020-07-29,0,0,a,0,0,Washington
2020-07-30,0,0,a,0,0,Washington
2020-07-31,0,0,a,0,0,Washington
2020-08-01,0,0,a,0,0,Washington
2020-08-02,0,0,a,0,0,Washington
2020-08-03,0,0,a,0,0,Washington
2020-08-04,0,0,a,0,0,Washington
2020-08-05,0,0,a,0,0,Washington
2020-08-06,0,0,a,0,0,Washington
2020-08-07,0,0,a,0,0,Washington
2020-08-08,0,0,a,0,0,Washington
2020-08-09,0,0,a,0,0,Washington
2020-08-10,0,0,a,0,0,Washington
2020-08-11,0,0,a,0,0,Washington
2020-08-12,0,0,a,0,0,Washington
2020-08-13,0,0,a,0,0,Washington
2020-08-14,0,0,a,0,0,Washington
2020-08-15,0,0,a,0,0,Washington
2020-08-16,0,0,a,0,0,Washington
2020-08-17,0,0,a,0,0,Washington
2020-08-18,0,0,a,0,0,Washington
2020-08-19,0,0,a,0,0,Washington
2020-08-20,0,0,a,0,0,Washington
2020-08-21,0,0,a,0,0,Washington
2020-08-22,0,0,a,0,0,Washington
2020-08-23,0,0,a,0,0,Washington
2020-08-24,0,0,a,0,0,Washington
2020-08-25,0,0,a,0,0,Washington
2020-08-26,0,0,a,0,0,Washington
2020-08-27,0,0,a,0,0,Washington
2020-08-28,0,0,a,0,0,Washington
2020-08-29,0,0,a,0,0,Washington
2020-08-30,0,0,a,0,0,Washington
2020-08-31,0,0,a,0,0,Washington
2020-09-01,0,0,a,0,0,Washington
2020-09-02,0,0,a,0,0,Washington
2020-09-03,0,0,a,0,0,Washington
2020-09-04,0,0,a,0,0,Washington
2020-09-05,0,0,a,0,0,Washington
