date,total_count,lineage_count,lineage,prevalence,prevalence_rolling,State
2020-03-16,4,1,a.2,0.25,0.167330677290837,Missouri
2020-03-17,0,0,a.2,0,0.0931263858093127,Missouri
2020-03-18,0,0,a.2,0,0.0378276141583356,Missouri
2020-03-19,0,0,a.2,0,0.0267243573428353,Missouri
2020-03-20,0,0,a.2,0,0.024390243902439,Missouri
2020-03-21,0,0,a.2,0,0.021505376344086,Missouri
2020-03-22,0,0,a.2,0,0.0212089077412513,Missouri
2020-03-23,0,0,a.2,0,0,Missouri
2020-03-24,0,0,a.2,0,0,Missouri
2020-03-25,0,0,a.2,0,0,Missouri
2020-03-26,0,0,a.2,0,0,Missouri
2020-03-27,0,0,a.2,0,0,Missouri
2020-03-28,0,0,a.2,0,0,Missouri
2020-03-29,0,0,a.2,0,0,Missouri
2020-03-30,0,0,a.2,0,0,Missouri
2020-03-31,0,0,a.2,0,0,Missouri
2020-04-01,0,0,a.2,0,0,Missouri
2020-04-02,0,0,a.2,0,0,Missouri
2020-04-03,0,0,a.2,0,0,Missouri
2020-04-04,0,0,a.2,0,0,Missouri
2020-04-05,0,0,a.2,0,0,Missouri
2020-04-06,0,0,a.2,0,0,Missouri
2020-04-07,0,0,a.2,0,0,Missouri
2020-04-08,0,0,a.2,0,0,Missouri
2020-04-09,0,0,a.2,0,0,Missouri
2020-04-10,0,0,a.2,0,0,Missouri
2020-04-11,0,0,a.2,0,0,Missouri
2020-04-12,0,0,a.2,0,0,Missouri
2020-04-13,0,0,a.2,0,0,Missouri
2020-04-14,0,0,a.2,0,0,Missouri
2020-04-15,0,0,a.2,0,0,Missouri
2020-04-16,0,0,a.2,0,0,Missouri
2020-04-17,0,0,a.2,0,0,Missouri
2020-04-18,0,0,a.2,0,0,Missouri
2020-04-19,0,0,a.2,0,0,Missouri
2020-04-20,0,0,a.2,0,0,Missouri
2020-04-21,0,0,a.2,0,0,Missouri
2020-04-22,0,0,a.2,0,0,Missouri
2020-04-23,0,0,a.2,0,0,Missouri
2020-04-24,0,0,a.2,0,0,Missouri
2020-04-25,0,0,a.2,0,0,Missouri
2020-04-26,0,0,a.2,0,0,Missouri
2020-04-27,0,0,a.2,0,0,Missouri
2020-04-28,0,0,a.2,0,0,Missouri
2020-04-29,0,0,a.2,0,0,Missouri
2020-04-30,0,0,a.2,0,0,Missouri
2020-05-01,0,0,a.2,0,0,Missouri
2020-05-02,0,0,a.2,0,0,Missouri
2020-05-03,0,0,a.2,0,0,Missouri
2020-05-04,0,0,a.2,0,0,Missouri
2020-05-05,0,0,a.2,0,0,Missouri
2020-05-06,0,0,a.2,0,0,Missouri
2020-05-07,0,0,a.2,0,0,Missouri
2020-05-08,0,0,a.2,0,0,Missouri
2020-05-09,0,0,a.2,0,0,Missouri
2020-05-10,0,0,a.2,0,0,Missouri
2020-05-11,0,0,a.2,0,0,Missouri
2020-05-12,0,0,a.2,0,0,Missouri
2020-05-13,0,0,a.2,0,0,Missouri
2020-05-14,0,0,a.2,0,0,Missouri
2020-05-15,0,0,a.2,0,0,Missouri
2020-05-16,0,0,a.2,0,0,Missouri
2020-05-17,0,0,a.2,0,0,Missouri
2020-05-18,0,0,a.2,0,0,Missouri
2020-05-19,0,0,a.2,0,0,Missouri
2020-05-20,0,0,a.2,0,0,Missouri
2020-05-21,0,0,a.2,0,0,Missouri
2020-05-22,0,0,a.2,0,0,Missouri
2020-05-23,0,0,a.2,0,0,Missouri
