iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths
NIU,Oceania,Niue,2020-01-05,,0.0,,0.0
NIU,Oceania,Niue,2020-01-12,,0.0,,0.0
NIU,Oceania,Niue,2020-01-19,,0.0,,0.0
NIU,Oceania,Niue,2020-01-26,,0.0,,0.0
NIU,Oceania,Niue,2020-02-02,,0.0,,0.0
NIU,Oceania,Niue,2020-02-09,,0.0,,0.0
NIU,Oceania,Niue,2020-02-16,,0.0,,0.0
NIU,Oceania,Niue,2020-02-23,,0.0,,0.0
NIU,Oceania,Niue,2020-03-01,,0.0,,0.0
NIU,Oceania,Niue,2020-03-08,,0.0,,0.0
NIU,Oceania,Niue,2020-03-15,,0.0,,0.0
NIU,Oceania,Niue,2020-03-22,,0.0,,0.0
NIU,Oceania,Niue,2020-03-29,,0.0,,0.0
NIU,Oceania,Niue,2020-04-05,,0.0,,0.0
NIU,Oceania,Niue,2020-04-12,,0.0,,0.0
NIU,Oceania,Niue,2020-04-19,,0.0,,0.0
NIU,Oceania,Niue,2020-04-26,,0.0,,0.0
NIU,Oceania,Niue,2020-05-03,,0.0,,0.0
NIU,Oceania,Niue,2020-05-10,,0.0,,0.0
NIU,Oceania,Niue,2020-05-17,,0.0,,0.0
NIU,Oceania,Niue,2020-05-24,,0.0,,0.0
NIU,Oceania,Niue,2020-05-31,,0.0,,0.0
NIU,Oceania,Niue,2020-06-07,,0.0,,0.0
NIU,Oceania,Niue,2020-06-14,,0.0,,0.0
NIU,Oceania,Niue,2020-06-21,,0.0,,0.0
NIU,Oceania,Niue,2020-06-28,,0.0,,0.0
NIU,Oceania,Niue,2020-07-05,,0.0,,0.0
NIU,Oceania,Niue,2020-07-12,,0.0,,0.0
NIU,Oceania,Niue,2020-07-19,,0.0,,0.0
NIU,Oceania,Niue,2020-07-26,,0.0,,0.0
NIU,Oceania,Niue,2020-08-02,,0.0,,0.0
NIU,Oceania,Niue,2020-08-09,,0.0,,0.0
NIU,Oceania,Niue,2020-08-16,,0.0,,0.0
NIU,Oceania,Niue,2020-08-23,,0.0,,0.0
NIU,Oceania,Niue,2020-08-30,,0.0,,0.0
NIU,Oceania,Niue,2020-09-06,,0.0,,0.0
NIU,Oceania,Niue,2020-09-13,,0.0,,0.0
NIU,Oceania,Niue,2020-09-20,,0.0,,0.0
NIU,Oceania,Niue,2020-09-27,,0.0,,0.0
NIU,Oceania,Niue,2020-10-04,,0.0,,0.0
NIU,Oceania,Niue,2020-10-11,,0.0,,0.0
NIU,Oceania,Niue,2020-10-18,,0.0,,0.0
NIU,Oceania,Niue,2020-10-25,,0.0,,0.0
NIU,Oceania,Niue,2020-11-01,,0.0,,0.0
NIU,Oceania,Niue,2020-11-08,,0.0,,0.0
NIU,Oceania,Niue,2020-11-15,,0.0,,0.0
NIU,Oceania,Niue,2020-11-22,,0.0,,0.0
NIU,Oceania,Niue,2020-11-29,,0.0,,0.0
NIU,Oceania,Niue,2020-12-06,,0.0,,0.0
NIU,Oceania,Niue,2020-12-13,,0.0,,0.0
NIU,Oceania,Niue,2020-12-20,,0.0,,0.0
NIU,Oceania,Niue,2020-12-27,,0.0,,0.0
NIU,Oceania,Niue,2021-01-03,,0.0,,0.0
NIU,Oceania,Niue,2021-01-10,,0.0,,0.0
NIU,Oceania,Niue,2021-01-17,,0.0,,0.0
NIU,Oceania,Niue,2021-01-24,,0.0,,0.0
NIU,Oceania,Niue,2021-01-31,,0.0,,0.0
NIU,Oceania,Niue,2021-02-07,,0.0,,0.0
NIU,Oceania,Niue,2021-02-14,,0.0,,0.0
NIU,Oceania,Niue,2021-02-21,,0.0,,0.0
NIU,Oceania,Niue,2021-02-28,,0.0,,0.0
NIU,Oceania,Niue,2021-03-07,,0.0,,0.0
NIU,Oceania,Niue,2021-03-14,,0.0,,0.0
NIU,Oceania,Niue,2021-03-21,,0.0,,0.0
NIU,Oceania,Niue,2021-03-28,,0.0,,0.0
NIU,Oceania,Niue,2021-04-04,,0.0,,0.0
NIU,Oceania,Niue,2021-04-11,,0.0,,0.0
NIU,Oceania,Niue,2021-04-18,,0.0,,0.0
NIU,Oceania,Niue,2021-04-25,,0.0,,0.0
NIU,Oceania,Niue,2021-05-02,,0.0,,0.0
NIU,Oceania,Niue,2021-05-09,,0.0,,0.0
NIU,Oceania,Niue,2021-05-16,,0.0,,0.0
NIU,Oceania,Niue,2021-05-23,,0.0,,0.0
NIU,Oceania,Niue,2021-05-30,,0.0,,0.0
NIU,Oceania,Niue,2021-06-06,,0.0,,0.0
NIU,Oceania,Niue,2021-06-13,,0.0,,0.0
NIU,Oceania,Niue,2021-06-20,,0.0,,0.0
NIU,Oceania,Niue,2021-06-21,,,,
NIU,Oceania,Niue,2021-06-22,,,,
NIU,Oceania,Niue,2021-06-23,,,,
NIU,Oceania,Niue,2021-06-24,,,,
NIU,Oceania,Niue,2021-06-25,,,,
NIU,Oceania,Niue,2021-06-26,,,,
NIU,Oceania,Niue,2021-06-27,,0.0,,0.0
NIU,Oceania,Niue,2021-06-28,,,,
NIU,Oceania,Niue,2021-06-29,,,,
NIU,Oceania,Niue,2021-06-30,,,,
NIU,Oceania,Niue,2021-07-01,,,,
NIU,Oceania,Niue,2021-07-02,,,,
NIU,Oceania,Niue,2021-07-03,,,,
NIU,Oceania,Niue,2021-07-04,,0.0,,0.0
NIU,Oceania,Niue,2021-07-05,,,,
NIU,Oceania,Niue,2021-07-06,,,,
NIU,Oceania,Niue,2021-07-07,,,,
NIU,Oceania,Niue,2021-07-08,,,,
NIU,Oceania,Niue,2021-07-09,,,,
NIU,Oceania,Niue,2021-07-10,,,,
NIU,Oceania,Niue,2021-07-11,,0.0,,0.0
NIU,Oceania,Niue,2021-07-12,,,,
NIU,Oceania,Niue,2021-07-13,,,,
NIU,Oceania,Niue,2021-07-14,,,,
NIU,Oceania,Niue,2021-07-15,,,,
NIU,Oceania,Niue,2021-07-16,,,,
NIU,Oceania,Niue,2021-07-17,,,,
