iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths
OWID_HIC,,High income,2020-01-03,,0.0,,0.0
OWID_HIC,,High income,2020-01-04,2.0,2.0,,0.0
OWID_HIC,,High income,2020-01-05,1.0,0.0,3.0,3.0
OWID_HIC,,High income,2020-01-06,1.0,0.0,3.0,0.0
OWID_HIC,,High income,2020-01-07,1.0,0.0,3.0,0.0
OWID_HIC,,High income,2020-01-08,2.0,1.0,3.0,0.0
OWID_HIC,,High income,2020-01-09,2.0,0.0,3.0,0.0
OWID_HIC,,High income,2020-01-10,2.0,0.0,3.0,0.0
OWID_HIC,,High income,2020-01-11,2.0,0.0,3.0,0.0
OWID_HIC,,High income,2020-01-12,2.0,0.0,3.0,0.0
OWID_HIC,,High income,2020-01-13,2.0,0.0,3.0,0.0
OWID_HIC,,High income,2020-01-14,3.0,1.0,3.0,0.0
OWID_HIC,,High income,2020-01-15,3.0,0.0,3.0,0.0
OWID_HIC,,High income,2020-01-16,3.0,0.0,3.0,0.0
OWID_HIC,,High income,2020-01-17,3.0,0.0,3.0,0.0
OWID_HIC,,High income,2020-01-18,3.0,0.0,3.0,0.0
OWID_HIC,,High income,2020-01-19,6.0,3.0,3.0,0.0
OWID_HIC,,High income,2020-01-20,7.0,1.0,3.0,0.0
OWID_HIC,,High income,2020-01-21,7.0,0.0,3.0,0.0
OWID_HIC,,High income,2020-01-22,7.0,0.0,3.0,0.0
OWID_HIC,,High income,2020-01-23,7.0,0.0,3.0,0.0
OWID_HIC,,High income,2020-01-24,9.0,2.0,3.0,0.0
OWID_HIC,,High income,2020-01-25,18.0,9.0,3.0,0.0
OWID_HIC,,High income,2020-01-26,31.0,13.0,6.0,3.0
OWID_HIC,,High income,2020-01-27,33.0,2.0,6.0,0.0
OWID_HIC,,High income,2020-01-28,37.0,4.0,6.0,0.0
OWID_HIC,,High income,2020-01-29,42.0,5.0,6.0,0.0
OWID_HIC,,High income,2020-01-30,53.0,11.0,6.0,0.0
OWID_HIC,,High income,2020-01-31,73.0,20.0,6.0,0.0
OWID_HIC,,High income,2020-02-01,80.0,7.0,7.0,1.0
OWID_HIC,,High income,2020-02-02,106.0,26.0,10.0,3.0
OWID_HIC,,High income,2020-02-03,112.0,6.0,10.0,0.0
OWID_HIC,,High income,2020-02-04,121.0,9.0,11.0,1.0
OWID_HIC,,High income,2020-02-05,161.0,40.0,11.0,0.0
OWID_HIC,,High income,2020-02-06,173.0,12.0,11.0,0.0
OWID_HIC,,High income,2020-02-07,173.0,4.0,11.0,0.0
OWID_HIC,,High income,2020-02-08,178.0,5.0,11.0,0.0
OWID_HIC,,High income,2020-02-09,223.0,45.0,11.0,0.0
OWID_HIC,,High income,2020-02-10,230.0,7.0,11.0,0.0
