date,total_count,lineage_count,lineage,prevalence,prevalence_rolling,Country
2021-07-05,6,1,ay.1,0.166666666666667,0.261682242990654,Georgia
2021-07-06,0,0,ay.1,0,0.152838427947598,Georgia
2021-07-07,0,0,ay.1,0,0.113821138211382,Georgia
2021-07-08,0,0,ay.1,0,0.104477611940299,Georgia
2021-07-09,0,0,ay.1,0,0.12280701754386,Georgia
2021-07-10,0,0,ay.1,0,0.104477611940299,Georgia
2021-07-11,5,1,ay.1,0.2,0.0714285714285714,Georgia
2021-07-12,0,0,ay.1,0,0.125,Georgia
2021-07-13,0,0,ay.1,0,0.166666666666667,Georgia
2021-07-14,0,0,ay.1,0,0.166666666666667,Georgia
2021-07-15,0,0,ay.1,0,0.125,Georgia
2021-07-16,0,0,ay.1,0,0.142857142857143,Georgia
2021-07-17,0,0,ay.1,0,0.142857142857143,Georgia
2021-07-18,0,0,ay.1,0,0,Georgia
2021-07-19,0,0,ay.1,0,0,Georgia
2021-07-20,0,0,ay.1,0,0,Georgia
2021-07-21,0,0,ay.1,0,0,Georgia
2021-07-22,0,0,ay.1,0,0,Georgia
2021-07-23,0,0,ay.1,0,0,Georgia
2021-07-24,0,0,ay.1,0,0,Georgia
2021-07-25,0,0,ay.1,0,0,Georgia
2021-07-26,0,0,ay.1,0,0,Georgia
2021-07-27,0,0,ay.1,0,0,Georgia
2021-07-28,0,0,ay.1,0,0,Georgia
2021-07-29,0,0,ay.1,0,0,Georgia
2021-07-30,0,0,ay.1,0,0,Georgia
2021-07-31,0,0,ay.1,0,0,Georgia
2021-08-01,0,0,ay.1,0,0,Georgia
2021-08-02,0,0,ay.1,0,0,Georgia
2021-08-03,0,0,ay.1,0,0,Georgia
2021-08-04,5,5,ay.1,1,0.416666666666667,Georgia
2021-08-05,2,2,ay.1,1,0.583333333333333,Georgia
2021-08-06,2,1,ay.1,0.5,0.615384615384615,Georgia
2021-08-07,6,1,ay.1,0.166666666666667,0.36,Georgia
2021-08-08,0,0,ay.1,0,0.461538461538462,Georgia
2021-08-09,0,0,ay.1,0,0.247706422018349,Georgia
2021-08-10,0,0,ay.1,0,0.292682926829268,Georgia
2021-08-11,0,0,ay.1,0,0.173410404624277,Georgia
2021-08-12,0,0,ay.1,0,0.0967741935483871,Georgia
2021-08-13,2,1,ay.1,0.5,0.101010101010101,Georgia
2021-08-14,0,0,ay.1,0,0.0697674418604651,Georgia
2021-08-15,0,0,ay.1,0,0.0769230769230769,Georgia
2021-08-16,0,0,ay.1,0,0.166666666666667,Georgia
2021-08-17,0,0,ay.1,0,0.25,Georgia
2021-08-18,0,0,ay.1,0,0.25,Georgia
2021-08-19,0,0,ay.1,0,0.25,Georgia
2021-08-20,0,0,ay.1,0,0,Georgia
2021-08-21,0,0,ay.1,0,0,Georgia
2021-08-22,0,0,ay.1,0,0,Georgia
2021-08-23,0,0,ay.1,0,0,Georgia
2021-08-24,0,0,ay.1,0,0,Georgia
2021-08-25,0,0,ay.1,0,0,Georgia
2021-08-26,0,0,ay.1,0,0,Georgia
2021-08-27,0,0,ay.1,0,0,Georgia
2021-08-28,0,0,ay.1,0,0,Georgia
2021-08-29,0,0,ay.1,0,0,Georgia
2021-08-30,0,0,ay.1,0,0,Georgia
2021-08-31,0,0,ay.1,0,0,Georgia
2021-09-01,0,0,ay.1,0,0,Georgia
2021-09-02,0,0,ay.1,0,0,Georgia
2021-09-03,0,0,ay.1,0,0,Georgia
2021-09-04,0,0,ay.1,0,0,Georgia
2021-09-05,0,0,ay.1,0,0,Georgia
2021-09-06,0,0,ay.1,0,0,Georgia
2021-09-07,0,0,ay.1,0,0,Georgia
