date,total_count,lineage_count,lineage,prevalence,prevalence_rolling,Country
2021-12-06,1,1,ay.100,1,1,Djibouti
2021-10-10,2,1,ay.120,0.5,0.466666666666667,Djibouti
2021-10-11,0,0,ay.120,0,0.259259259259259,Djibouti
2021-10-12,0,0,ay.120,0,0.162790697674419,Djibouti
2021-10-13,2,2,ay.120,1,0.368421052631579,Djibouti
2021-10-14,0,0,ay.120,0,0.295774647887324,Djibouti
2021-10-15,1,1,ay.120,1,0.4,Djibouti
2021-10-16,2,1,ay.120,0.5,0.416666666666667,Djibouti
2021-11-23,1,1,ay.126,1,1,Djibouti
2021-11-24,0,0,ay.126,0,1,Djibouti
2021-11-25,0,0,ay.126,0,1,Djibouti
2021-11-26,0,0,ay.126,0,1,Djibouti
2021-11-27,0,0,ay.126,0,1,Djibouti
2021-11-28,0,0,ay.126,0,1,Djibouti
2021-11-29,0,0,ay.126,0,1,Djibouti
2021-11-30,0,0,ay.126,0,0,Djibouti
2021-12-01,0,0,ay.126,0,0,Djibouti
2021-12-02,0,0,ay.126,0,0,Djibouti
2021-12-03,0,0,ay.126,0,0,Djibouti
2021-12-04,0,0,ay.126,0,0,Djibouti
2021-12-05,0,0,ay.126,0,0,Djibouti
2021-12-06,0,0,ay.126,0,0,Djibouti
2021-12-07,0,0,ay.126,0,0,Djibouti
2021-12-08,0,0,ay.126,0,0,Djibouti
2021-12-09,0,0,ay.126,0,0,Djibouti
2021-12-10,0,0,ay.126,0,0,Djibouti
2021-12-11,0,0,ay.126,0,0,Djibouti
2021-12-12,1,1,ay.126,1,1,Djibouti
2021-09-16,4,1,ay.127.1,0.25,0.7,Djibouti
2021-09-17,0,0,ay.127.1,0,1,Djibouti
2021-09-18,1,1,ay.127.1,1,1,Djibouti
2021-09-19,0,0,ay.127.1,0,1,Djibouti
2021-09-20,1,1,ay.127.1,1,1,Djibouti
2021-09-21,0,0,ay.127.1,0,0.636363636363636,Djibouti
2021-09-22,0,0,ay.127.1,0,0.428571428571429,Djibouti
2021-09-23,0,0,ay.127.1,0,0.4,Djibouti
2021-09-24,0,0,ay.127.1,0,0.4,Djibouti
2021-09-25,0,0,ay.127.1,0,0.25,Djibouti
2021-09-26,0,0,ay.127.1,0,0.25,Djibouti
2021-09-27,4,3,ay.127.1,0.75,0.428571428571429,Djibouti
2021-09-28,2,1,ay.127.1,0.5,0.571428571428571,Djibouti
2021-09-29,1,1,ay.127.1,1,1,Djibouti
2021-09-30,8,8,ay.127.1,1,1,Djibouti
2021-10-01,2,2,ay.127.1,1,1,Djibouti
2021-10-02,0,0,ay.127.1,0,1,Djibouti
2021-10-03,3,3,ay.127.1,1,1,Djibouti
2021-10-04,0,0,ay.127.1,0,1,Djibouti
2021-10-05,0,0,ay.127.1,0,1,Djibouti
2021-10-06,3,3,ay.127.1,1,1,Djibouti
2021-10-07,0,0,ay.127.1,0,1,Djibouti
2021-10-08,3,3,ay.127.1,1,1,Djibouti
2021-10-09,1,1,ay.127.1,1,1,Djibouti
2021-10-10,2,1,ay.127.1,0.5,0.533333333333333,Djibouti
2021-10-11,2,2,ay.127.1,1,0.740740740740741,Djibouti
2021-10-12,2,2,ay.127.1,1,0.837209302325582,Djibouti
2021-10-13,0,0,ay.127.1,0,0.631578947368421,Djibouti
2021-10-14,1,1,ay.127.1,1,0.704225352112676,Djibouti
2021-10-15,0,0,ay.127.1,0,0.6,Djibouti
2021-10-16,2,1,ay.127.1,0.5,0.583333333333333,Djibouti
2021-10-17,0,0,ay.127.1,0,1,Djibouti
2021-10-18,1,1,ay.127.1,1,1,Djibouti
2021-10-19,1,1,ay.127.1,1,1,Djibouti
2021-10-20,0,0,ay.127.1,0,1,Djibouti
2021-10-21,0,0,ay.127.1,0,1,Djibouti
2021-10-22,1,1,ay.127.1,1,1,Djibouti
2021-08-06,2,1,ay.26,0.5,0.5,Djibouti
2021-12-29,13,1,ay.3,0.0769230769230769,0.102439024390244,Djibouti
2021-06-30,1,1,ay.44,1,1,Djibouti
2021-07-01,0,0,ay.44,0,1,Djibouti
2021-07-02,0,0,ay.44,0,1,Djibouti
2021-07-03,0,0,ay.44,0,1,Djibouti
2021-07-04,0,0,ay.44,0,1,Djibouti
2021-07-05,0,0,ay.44,0,1,Djibouti
2021-07-06,0,0,ay.44,0,1,Djibouti
2021-07-07,0,0,ay.44,0,0,Djibouti
2021-07-08,0,0,ay.44,0,0,Djibouti
2021-07-09,0,0,ay.44,0,0,Djibouti
2021-07-10,0,0,ay.44,0,0,Djibouti
2021-07-11,0,0,ay.44,0,0,Djibouti
2021-07-12,0,0,ay.44,0,0,Djibouti
2021-07-13,0,0,ay.44,0,0,Djibouti
2021-07-14,0,0,ay.44,0,0,Djibouti
2021-07-15,0,0,ay.44,0,0,Djibouti
2021-07-16,0,0,ay.44,0,0,Djibouti
2021-07-17,0,0,ay.44,0,0,Djibouti
2021-07-18,0,0,ay.44,0,0,Djibouti
2021-07-19,0,0,ay.44,0,0,Djibouti
2021-07-20,0,0,ay.44,0,0,Djibouti
2021-07-21,0,0,ay.44,0,0,Djibouti
2021-07-22,0,0,ay.44,0,0,Djibouti
2021-07-23,0,0,ay.44,0,0,Djibouti
2021-07-24,0,0,ay.44,0,0,Djibouti
2021-07-25,0,0,ay.44,0,0,Djibouti
2021-07-26,0,0,ay.44,0,0,Djibouti
2021-07-27,0,0,ay.44,0,0,Djibouti
2021-07-28,0,0,ay.44,0,0,Djibouti
2021-07-29,0,0,ay.44,0,0,Djibouti
2021-07-30,0,0,ay.44,0,0,Djibouti
2021-07-31,0,0,ay.44,0,0,Djibouti
2021-08-01,0,0,ay.44,0,0,Djibouti
2021-08-02,0,0,ay.44,0,0,Djibouti
2021-08-03,0,0,ay.44,0,0,Djibouti
2021-08-04,0,0,ay.44,0,0,Djibouti
2021-08-05,0,0,ay.44,0,0,Djibouti
2021-08-06,0,0,ay.44,0,0,Djibouti
2021-08-07,0,0,ay.44,0,0,Djibouti
2021-08-08,0,0,ay.44,0,0,Djibouti
2021-08-09,0,0,ay.44,0,0,Djibouti
2021-08-10,0,0,ay.44,0,0,Djibouti
2021-08-11,0,0,ay.44,0,0,Djibouti
2021-08-12,0,0,ay.44,0,0,Djibouti
2021-08-13,0,0,ay.44,0,0,Djibouti
2021-08-14,0,0,ay.44,0,0,Djibouti
2021-08-15,0,0,ay.44,0,0,Djibouti
2021-08-16,0,0,ay.44,0,0,Djibouti
2021-08-17,0,0,ay.44,0,0,Djibouti
2021-08-18,0,0,ay.44,0,0,Djibouti
2021-08-19,0,0,ay.44,0,0,Djibouti
2021-08-20,0,0,ay.44,0,0,Djibouti
2021-08-21,0,0,ay.44,0,0,Djibouti
2021-08-22,0,0,ay.44,0,0,Djibouti
2021-08-23,0,0,ay.44,0,0,Djibouti
2021-08-24,0,0,ay.44,0,0,Djibouti
2021-08-25,0,0,ay.44,0,0,Djibouti
2021-08-26,0,0,ay.44,0,0,Djibouti
2021-08-27,0,0,ay.44,0,0,Djibouti
2021-08-28,0,0,ay.44,0,0,Djibouti
2021-08-29,0,0,ay.44,0,0,Djibouti
2021-08-30,0,0,ay.44,0,0,Djibouti
2021-08-31,0,0,ay.44,0,0,Djibouti
2021-09-01,0,0,ay.44,0,0,Djibouti
2021-09-02,0,0,ay.44,0,0,Djibouti
2021-09-03,0,0,ay.44,0,0,Djibouti
2021-09-04,0,0,ay.44,0,0,Djibouti
2021-09-05,0,0,ay.44,0,0,Djibouti
2021-09-06,0,0,ay.44,0,0,Djibouti
2021-09-07,0,0,ay.44,0,0,Djibouti
2021-09-08,0,0,ay.44,0,0,Djibouti
2021-09-09,0,0,ay.44,0,0,Djibouti
2021-09-10,0,0,ay.44,0,0,Djibouti
2021-09-11,0,0,ay.44,0,0,Djibouti
2021-09-12,0,0,ay.44,0,0,Djibouti
2021-09-13,0,0,ay.44,0,0,Djibouti
2021-09-14,0,0,ay.44,0,0,Djibouti
2021-09-15,0,0,ay.44,0,0,Djibouti
2021-09-16,0,0,ay.44,0,0,Djibouti
2021-09-17,0,0,ay.44,0,0,Djibouti
2021-09-18,0,0,ay.44,0,0,Djibouti
2021-09-19,0,0,ay.44,0,0,Djibouti
2021-09-20,0,0,ay.44,0,0,Djibouti
2021-09-21,0,0,ay.44,0,0,Djibouti
2021-09-22,2,1,ay.44,0.5,0.142857142857143,Djibouti
2021-08-06,2,1,ay.46,0.5,0.5,Djibouti
2021-08-07,0,0,ay.46,0,1,Djibouti
2021-08-08,0,0,ay.46,0,1,Djibouti
2021-08-09,0,0,ay.46,0,1,Djibouti
2021-08-10,0,0,ay.46,0,1,Djibouti
2021-08-11,0,0,ay.46,0,1,Djibouti
2021-08-12,0,0,ay.46,0,1,Djibouti
2021-08-13,0,0,ay.46,0,0,Djibouti
2021-08-14,0,0,ay.46,0,0,Djibouti
2021-08-15,0,0,ay.46,0,0,Djibouti
2021-08-16,0,0,ay.46,0,0,Djibouti
2021-08-17,0,0,ay.46,0,0,Djibouti
2021-08-18,0,0,ay.46,0,0,Djibouti
2021-08-19,0,0,ay.46,0,0,Djibouti
2021-08-20,0,0,ay.46,0,0,Djibouti
2021-08-21,0,0,ay.46,0,0,Djibouti
2021-08-22,0,0,ay.46,0,0,Djibouti
2021-08-23,0,0,ay.46,0,0,Djibouti
2021-08-24,0,0,ay.46,0,0,Djibouti
2021-08-25,0,0,ay.46,0,0,Djibouti
2021-08-26,0,0,ay.46,0,0,Djibouti
2021-08-27,0,0,ay.46,0,0,Djibouti
2021-08-28,0,0,ay.46,0,0,Djibouti
2021-08-29,0,0,ay.46,0,0,Djibouti
2021-08-30,0,0,ay.46,0,0,Djibouti
2021-08-31,0,0,ay.46,0,0,Djibouti
2021-09-01,0,0,ay.46,0,0,Djibouti
2021-09-02,0,0,ay.46,0,0,Djibouti
2021-09-03,0,0,ay.46,0,0,Djibouti
2021-09-04,0,0,ay.46,0,0,Djibouti
2021-09-05,0,0,ay.46,0,0,Djibouti
2021-09-06,0,0,ay.46,0,0,Djibouti
2021-09-07,0,0,ay.46,0,0,Djibouti
2021-09-08,0,0,ay.46,0,0,Djibouti
2021-09-09,4,1,ay.46,0.25,0.25,Djibouti
2021-09-10,0,0,ay.46,0,0.25,Djibouti
2021-09-11,0,0,ay.46,0,0.25,Djibouti
2021-09-12,0,0,ay.46,0,0.25,Djibouti
2021-09-13,0,0,ay.46,0,0.25,Djibouti
2021-09-14,0,0,ay.46,0,0.25,Djibouti
2021-09-15,0,0,ay.46,0,0.25,Djibouti
2021-09-16,0,0,ay.46,0,0,Djibouti
2021-09-17,0,0,ay.46,0,0,Djibouti
2021-09-18,0,0,ay.46,0,0,Djibouti
2021-09-19,0,0,ay.46,0,0,Djibouti
2021-09-20,0,0,ay.46,0,0,Djibouti
2021-09-21,2,2,ay.46,1,0.363636363636364,Djibouti
2021-09-22,2,1,ay.46,0.5,0.428571428571429,Djibouti
2021-09-23,0,0,ay.46,0,0.6,Djibouti
2021-09-24,0,0,ay.46,0,0.6,Djibouti
2021-09-25,0,0,ay.46,0,0.75,Djibouti
2021-09-26,0,0,ay.46,0,0.75,Djibouti
2021-09-27,4,1,ay.46,0.25,0.571428571428571,Djibouti
2021-09-28,2,1,ay.46,0.5,0.428571428571429,Djibouti
2021-09-01,1,1,ay.73,1,1,Djibouti
2021-09-02,0,0,ay.73,0,1,Djibouti
2021-09-03,0,0,ay.73,0,1,Djibouti
2021-09-04,0,0,ay.73,0,1,Djibouti
2021-09-05,0,0,ay.73,0,1,Djibouti
2021-09-06,0,0,ay.73,0,1,Djibouti
2021-09-07,0,0,ay.73,0,1,Djibouti
2021-09-08,0,0,ay.73,0,0,Djibouti
2021-09-09,0,0,ay.73,0,0,Djibouti
2021-09-10,0,0,ay.73,0,0,Djibouti
2021-09-11,0,0,ay.73,0,0,Djibouti
2021-09-12,0,0,ay.73,0,0,Djibouti
2021-09-13,0,0,ay.73,0,0,Djibouti
2021-09-14,0,0,ay.73,0,0,Djibouti
2021-09-15,0,0,ay.73,0,0,Djibouti
2021-09-16,4,1,ay.73,0.25,0.1,Djibouti
2020-04-28,2,2,b.1,1,1,Djibouti
2020-04-29,0,0,b.1,0,1,Djibouti
2020-04-30,0,0,b.1,0,1,Djibouti
2020-05-01,0,0,b.1,0,1,Djibouti
2020-05-02,0,0,b.1,0,1,Djibouti
2020-05-03,0,0,b.1,0,1,Djibouti
2020-05-04,0,0,b.1,0,1,Djibouti
2020-05-05,0,0,b.1,0,0,Djibouti
2020-05-06,0,0,b.1,0,0,Djibouti
2020-05-07,0,0,b.1,0,0,Djibouti
2020-05-08,0,0,b.1,0,0,Djibouti
2020-05-09,0,0,b.1,0,0,Djibouti
2020-05-10,0,0,b.1,0,0,Djibouti
2020-05-11,0,0,b.1,0,0,Djibouti
2020-05-12,0,0,b.1,0,0,Djibouti
2020-05-13,0,0,b.1,0,0,Djibouti
2020-05-14,0,0,b.1,0,0,Djibouti
2020-05-15,0,0,b.1,0,0,Djibouti
2020-05-16,0,0,b.1,0,0,Djibouti
2020-05-17,0,0,b.1,0,0,Djibouti
2020-05-18,0,0,b.1,0,0,Djibouti
2020-05-19,0,0,b.1,0,0,Djibouti
2020-05-20,0,0,b.1,0,0,Djibouti
2020-05-21,0,0,b.1,0,0,Djibouti
2020-05-22,1,1,b.1,1,1,Djibouti
2020-05-23,0,0,b.1,0,1,Djibouti
