date,total_count,lineage_count,lineage,prevalence,prevalence_rolling,Country
2020-03-22,2,1,a,0.5,0.4,Uganda
2020-03-23,0,0,a,0,0.375,Uganda
2020-03-24,0,0,a,0,0.363636363636364,Uganda
2020-03-25,3,1,a,0.333333333333333,0.357142857142857,Uganda
2020-03-26,2,1,a,0.5,0.391304347826087,Uganda
2020-03-27,0,0,a,0,0.134615384615385,Uganda
2020-03-28,0,0,a,0,0.176470588235294,Uganda
2020-03-29,0,0,a,0,0.157894736842105,Uganda
2020-03-30,0,0,a,0,0.1,Uganda
2020-03-31,0,0,a,0,0.10752688172043,Uganda
2020-04-01,0,0,a,0,0.0681818181818182,Uganda
2020-04-02,0,0,a,0,0,Uganda
2020-04-03,0,0,a,0,0,Uganda
2020-04-04,1,1,a,1,0.111111111111111,Uganda
2020-04-05,0,0,a,0,0.111111111111111,Uganda
2020-04-06,0,0,a,0,0.5,Uganda
2020-04-07,0,0,a,0,0.5,Uganda
2020-04-08,0,0,a,0,0.5,Uganda
2020-04-09,0,0,a,0,1,Uganda
2020-04-10,0,0,a,0,1,Uganda
2020-04-11,0,0,a,0,0,Uganda
2020-04-12,0,0,a,0,0,Uganda
2020-04-13,0,0,a,0,0,Uganda
2020-04-14,0,0,a,0,0,Uganda
2020-04-15,0,0,a,0,0,Uganda
2020-04-16,0,0,a,0,0,Uganda
2020-04-17,0,0,a,0,0,Uganda
2020-04-18,0,0,a,0,0,Uganda
2020-04-19,0,0,a,0,0,Uganda
2020-04-20,1,1,a,1,1,Uganda
2020-04-21,0,0,a,0,1,Uganda
2020-04-22,0,0,a,0,1,Uganda
2020-04-23,0,0,a,0,1,Uganda
2020-04-24,0,0,a,0,1,Uganda
2020-04-25,0,0,a,0,1,Uganda
2020-04-26,0,0,a,0,1,Uganda
2020-04-27,0,0,a,0,0,Uganda
2020-04-28,0,0,a,0,0,Uganda
2020-04-29,0,0,a,0,0,Uganda
2020-04-30,0,0,a,0,0,Uganda
2020-05-01,0,0,a,0,0,Uganda
2020-05-02,2,1,a,0.5,0.111111111111111,Uganda
2020-05-03,0,0,a,0,0.111111111111111,Uganda
2020-05-04,4,1,a,0.25,0.181818181818182,Uganda
2020-05-05,0,0,a,0,0.181818181818182,Uganda
2020-05-06,0,0,a,0,0.153846153846154,Uganda
2020-05-07,0,0,a,0,0.0833333333333333,Uganda
2020-05-08,0,0,a,0,0.1,Uganda
2020-05-09,0,0,a,0,0.0555555555555556,Uganda
2020-05-10,0,0,a,0,0.0555555555555556,Uganda
2020-05-11,1,1,a,1,0.0666666666666667,Uganda
2020-05-12,0,0,a,0,0.0666666666666667,Uganda
2020-05-13,0,0,a,0,0.0769230769230769,Uganda
2020-05-14,0,0,a,0,1,Uganda
2020-05-15,0,0,a,0,1,Uganda
2020-05-16,0,0,a,0,1,Uganda
2020-05-17,0,0,a,0,1,Uganda
2020-05-18,0,0,a,0,0,Uganda
2020-05-19,0,0,a,0,0,Uganda
2020-05-20,0,0,a,0,0,Uganda
2020-05-21,0,0,a,0,0,Uganda
2020-05-22,0,0,a,0,0,Uganda
2020-05-23,0,0,a,0,0,Uganda
2020-05-24,0,0,a,0,0,Uganda
2020-05-25,0,0,a,0,0,Uganda
2020-05-26,0,0,a,0,0,Uganda
2020-05-27,0,0,a,0,0,Uganda
2020-05-28,0,0,a,0,0,Uganda
2020-05-29,0,0,a,0,0,Uganda
2020-05-30,0,0,a,0,0,Uganda
2020-05-31,0,0,a,0,0,Uganda
2020-06-01,0,0,a,0,0,Uganda
2020-06-02,0,0,a,0,0,Uganda
2020-06-03,0,0,a,0,0,Uganda
2020-06-04,0,0,a,0,0,Uganda
2020-06-05,0,0,a,0,0,Uganda
2020-06-06,0,0,a,0,0,Uganda
2020-06-07,0,0,a,0,0,Uganda
2020-06-08,0,0,a,0,0,Uganda
2020-06-09,0,0,a,0,0,Uganda
2020-06-10,0,0,a,0,0,Uganda
2020-06-11,0,0,a,0,0,Uganda
2020-06-12,0,0,a,0,0,Uganda
2020-06-13,0,0,a,0,0,Uganda
2020-06-14,0,0,a,0,0,Uganda
2020-06-15,0,0,a,0,0,Uganda
2020-06-16,0,0,a,0,0,Uganda
2020-06-17,0,0,a,0,0,Uganda
2020-06-18,0,0,a,0,0,Uganda
2020-06-19,0,0,a,0,0,Uganda
2020-06-20,0,0,a,0,0,Uganda
2020-06-21,0,0,a,0,0,Uganda
2020-06-22,0,0,a,0,0,Uganda
2020-06-23,0,0,a,0,0,Uganda
2020-06-24,0,0,a,0,0,Uganda
2020-06-25,0,0,a,0,0,Uganda
2020-06-26,0,0,a,0,0,Uganda
2020-06-27,0,0,a,0,0,Uganda
2020-06-28,0,0,a,0,0,Uganda
2020-06-29,0,0,a,0,0,Uganda
2020-06-30,0,0,a,0,0,Uganda
2020-07-01,0,0,a,0,0,Uganda
2020-07-02,0,0,a,0,0,Uganda
2020-07-03,0,0,a,0,0,Uganda
2020-07-04,0,0,a,0,0,Uganda
2020-07-05,0,0,a,0,0,Uganda
2020-07-06,0,0,a,0,0,Uganda
2020-07-07,0,0,a,0,0,Uganda
2020-07-08,0,0,a,0,0,Uganda
2020-07-09,0,0,a,0,0,Uganda
