date,total_count,lineage_count,lineage,prevalence,prevalence_rolling,Country
2020-11-04,2,1,a.24,0.5,0.371681415929204,Singapore
2020-10-19,5,1,ad.2,0.2,0.241379310344828,Singapore
2021-05-27,25,1,au.2,0.04,0.0414405525407005,Singapore
2021-03-30,11,1,au.3,0.0909090909090909,0.0985915492957747,Singapore
2021-03-31,0,0,au.3,0,0.0419161676646707,Singapore
2021-04-01,20,1,au.3,0.05,0.0482758620689655,Singapore
2021-04-02,0,0,au.3,0,0.0344827586206897,Singapore
2021-04-03,0,0,au.3,0,0.0280561122244489,Singapore
2021-04-04,13,1,au.3,0.0769230769230769,0.0311111111111111,Singapore
2021-04-05,0,0,au.3,0,0.0301507537688442,Singapore
2021-04-06,0,0,au.3,0,0.0185758513931889,Singapore
2021-04-07,0,0,au.3,0,0.0203045685279188,Singapore
2021-04-08,0,0,au.3,0,0.0117370892018779,Singapore
2021-04-09,0,0,au.3,0,0.0118343195266272,Singapore
2021-04-10,0,0,au.3,0,0.0116279069767442,Singapore
2021-04-11,0,0,au.3,0,0,Singapore
2021-04-12,0,0,au.3,0,0,Singapore
2021-04-13,6,1,au.3,0.166666666666667,0.0119047619047619,Singapore
2021-08-18,56,1,ay.1,0.0178571428571429,0.019990480723465,Singapore
2021-12-06,35,1,ay.100,0.0285714285714286,0.0297113752122241,Singapore
2021-12-07,0,0,ay.100,0,0.0175761633746234,Singapore
2021-12-08,0,0,ay.100,0,0.0109503324208056,Singapore
2021-12-09,0,0,ay.100,0,0.00740270727580372,Singapore
2021-12-10,0,0,ay.100,0,0.00604490500863558,Singapore
2021-12-11,0,0,ay.100,0,0.0046916890080429,Singapore
2021-12-12,0,0,ay.100,0,0.00401660195474628,Singapore
2021-12-13,0,0,ay.100,0,0,Singapore
2021-12-14,58,1,ay.100,0.0172413793103448,0.00375281461095822,Singapore
2021-05-24,29,1,ay.102,0.0344827586206897,0.0363951473136915,Singapore
2021-05-25,0,0,ay.102,0,0.0193103448275862,Singapore
2021-05-26,0,0,ay.102,0,0.0146076794657763,Singapore
2021-05-27,0,0,ay.102,0,0.0103601381351751,Singapore
2021-05-28,0,0,ay.102,0,0.0091563113145847,Singapore
2021-05-29,0,0,ay.102,0,0.00780379041248606,Singapore
2021-05-30,0,0,ay.102,0,0.00667779632721202,Singapore
2021-05-31,0,0,ay.102,0,0,Singapore
2021-06-01,0,0,ay.102,0,0,Singapore
2021-06-02,0,0,ay.102,0,0,Singapore
2021-06-03,0,0,ay.102,0,0,Singapore
2021-06-04,0,0,ay.102,0,0,Singapore
2021-06-05,0,0,ay.102,0,0,Singapore
2021-06-06,0,0,ay.102,0,0,Singapore
2021-06-07,0,0,ay.102,0,0,Singapore
2021-06-08,0,0,ay.102,0,0,Singapore
2021-06-09,0,0,ay.102,0,0,Singapore
2021-06-10,0,0,ay.102,0,0,Singapore
2021-06-11,0,0,ay.102,0,0,Singapore
2021-06-12,0,0,ay.102,0,0,Singapore
2021-06-13,0,0,ay.102,0,0,Singapore
2021-06-14,0,0,ay.102,0,0,Singapore
2021-06-15,0,0,ay.102,0,0,Singapore
2021-06-16,0,0,ay.102,0,0,Singapore
2021-06-17,0,0,ay.102,0,0,Singapore
2021-06-18,0,0,ay.102,0,0,Singapore
2021-06-19,0,0,ay.102,0,0,Singapore
2021-06-20,0,0,ay.102,0,0,Singapore
2021-06-21,0,0,ay.102,0,0,Singapore
2021-06-22,0,0,ay.102,0,0,Singapore
2021-06-23,0,0,ay.102,0,0,Singapore
2021-06-24,0,0,ay.102,0,0,Singapore
2021-06-25,0,0,ay.102,0,0,Singapore
2021-06-26,0,0,ay.102,0,0,Singapore
2021-06-27,0,0,ay.102,0,0,Singapore
2021-06-28,0,0,ay.102,0,0,Singapore
2021-06-29,0,0,ay.102,0,0,Singapore
2021-06-30,0,0,ay.102,0,0,Singapore
2021-07-01,0,0,ay.102,0,0,Singapore
2021-07-02,0,0,ay.102,0,0,Singapore
2021-07-03,0,0,ay.102,0,0,Singapore
2021-07-04,0,0,ay.102,0,0,Singapore
2021-07-05,0,0,ay.102,0,0,Singapore
2021-07-06,0,0,ay.102,0,0,Singapore
2021-07-07,0,0,ay.102,0,0,Singapore
2021-07-08,0,0,ay.102,0,0,Singapore
2021-07-09,0,0,ay.102,0,0,Singapore
2021-07-10,0,0,ay.102,0,0,Singapore
2021-07-11,0,0,ay.102,0,0,Singapore
2021-07-12,0,0,ay.102,0,0,Singapore
2021-07-13,0,0,ay.102,0,0,Singapore
2021-07-14,0,0,ay.102,0,0,Singapore
2021-07-15,0,0,ay.102,0,0,Singapore
2021-07-16,0,0,ay.102,0,0,Singapore
2021-07-17,0,0,ay.102,0,0,Singapore
2021-07-18,0,0,ay.102,0,0,Singapore
2021-07-19,0,0,ay.102,0,0,Singapore
2021-07-20,0,0,ay.102,0,0,Singapore
2021-07-21,0,0,ay.102,0,0,Singapore
2021-07-22,0,0,ay.102,0,0,Singapore
2021-07-23,0,0,ay.102,0,0,Singapore
2021-07-24,0,0,ay.102,0,0,Singapore
2021-07-25,0,0,ay.102,0,0,Singapore
2021-07-26,0,0,ay.102,0,0,Singapore
2021-07-27,0,0,ay.102,0,0,Singapore
2021-07-28,0,0,ay.102,0,0,Singapore
2021-07-29,0,0,ay.102,0,0,Singapore
2021-07-30,0,0,ay.102,0,0,Singapore
2021-07-31,0,0,ay.102,0,0,Singapore
2021-08-01,0,0,ay.102,0,0,Singapore
2021-08-02,0,0,ay.102,0,0,Singapore
2021-08-03,0,0,ay.102,0,0,Singapore
2021-08-04,0,0,ay.102,0,0,Singapore
2021-08-05,0,0,ay.102,0,0,Singapore
2021-08-06,0,0,ay.102,0,0,Singapore
2021-08-07,0,0,ay.102,0,0,Singapore
2021-08-08,0,0,ay.102,0,0,Singapore
2021-08-09,0,0,ay.102,0,0,Singapore
2021-08-10,0,0,ay.102,0,0,Singapore
2021-08-11,0,0,ay.102,0,0,Singapore
2021-08-12,0,0,ay.102,0,0,Singapore
2021-08-13,0,0,ay.102,0,0,Singapore
2021-08-14,0,0,ay.102,0,0,Singapore
2021-08-15,0,0,ay.102,0,0,Singapore
2021-08-16,0,0,ay.102,0,0,Singapore
2021-08-17,0,0,ay.102,0,0,Singapore
2021-08-18,0,0,ay.102,0,0,Singapore
2021-08-19,0,0,ay.102,0,0,Singapore
2021-08-20,0,0,ay.102,0,0,Singapore
2021-08-21,0,0,ay.102,0,0,Singapore
2021-08-22,0,0,ay.102,0,0,Singapore
2021-08-23,0,0,ay.102,0,0,Singapore
2021-08-24,0,0,ay.102,0,0,Singapore
2021-08-25,0,0,ay.102,0,0,Singapore
2021-08-26,0,0,ay.102,0,0,Singapore
2021-08-27,0,0,ay.102,0,0,Singapore
2021-08-28,0,0,ay.102,0,0,Singapore
2021-08-29,0,0,ay.102,0,0,Singapore
2021-08-30,0,0,ay.102,0,0,Singapore
2021-08-31,0,0,ay.102,0,0,Singapore
2021-09-01,0,0,ay.102,0,0,Singapore
2021-09-02,0,0,ay.102,0,0,Singapore
2021-09-03,0,0,ay.102,0,0,Singapore
2021-09-04,0,0,ay.102,0,0,Singapore
2021-09-05,0,0,ay.102,0,0,Singapore
2021-09-06,0,0,ay.102,0,0,Singapore
2021-09-07,0,0,ay.102,0,0,Singapore
2021-09-08,0,0,ay.102,0,0,Singapore
2021-09-09,0,0,ay.102,0,0,Singapore
2021-09-10,0,0,ay.102,0,0,Singapore
2021-09-11,0,0,ay.102,0,0,Singapore
2021-09-12,0,0,ay.102,0,0,Singapore
2021-09-13,0,0,ay.102,0,0,Singapore
2021-09-14,0,0,ay.102,0,0,Singapore
2021-09-15,0,0,ay.102,0,0,Singapore
2021-09-16,0,0,ay.102,0,0,Singapore
2021-09-17,0,0,ay.102,0,0,Singapore
2021-09-18,0,0,ay.102,0,0,Singapore
2021-09-19,0,0,ay.102,0,0,Singapore
2021-09-20,0,0,ay.102,0,0,Singapore
2021-09-21,0,0,ay.102,0,0,Singapore
2021-09-22,0,0,ay.102,0,0,Singapore
2021-09-23,0,0,ay.102,0,0,Singapore
2021-09-24,0,0,ay.102,0,0,Singapore
2021-09-25,0,0,ay.102,0,0,Singapore
2021-09-26,0,0,ay.102,0,0,Singapore
2021-09-27,0,0,ay.102,0,0,Singapore
2021-09-28,0,0,ay.102,0,0,Singapore
2021-09-29,0,0,ay.102,0,0,Singapore
2021-09-30,0,0,ay.102,0,0,Singapore
2021-10-01,0,0,ay.102,0,0,Singapore
2021-10-02,0,0,ay.102,0,0,Singapore
2021-10-03,0,0,ay.102,0,0,Singapore
2021-10-04,0,0,ay.102,0,0,Singapore
2021-10-05,0,0,ay.102,0,0,Singapore
2021-10-06,0,0,ay.102,0,0,Singapore
2021-10-07,0,0,ay.102,0,0,Singapore
2021-10-08,0,0,ay.102,0,0,Singapore
2021-10-09,0,0,ay.102,0,0,Singapore
2021-10-10,0,0,ay.102,0,0,Singapore
2021-10-11,0,0,ay.102,0,0,Singapore
2021-10-12,0,0,ay.102,0,0,Singapore
2021-10-13,0,0,ay.102,0,0,Singapore
2021-10-14,0,0,ay.102,0,0,Singapore
2021-10-15,0,0,ay.102,0,0,Singapore
2021-10-16,0,0,ay.102,0,0,Singapore
2021-10-17,0,0,ay.102,0,0,Singapore
2021-10-18,0,0,ay.102,0,0,Singapore
2021-10-19,0,0,ay.102,0,0,Singapore
2021-10-20,0,0,ay.102,0,0,Singapore
2021-10-21,0,0,ay.102,0,0,Singapore
2021-10-22,0,0,ay.102,0,0,Singapore
2021-10-23,0,0,ay.102,0,0,Singapore
2021-10-24,0,0,ay.102,0,0,Singapore
2021-10-25,0,0,ay.102,0,0,Singapore
2021-10-26,0,0,ay.102,0,0,Singapore
2021-10-27,0,0,ay.102,0,0,Singapore
2021-10-28,0,0,ay.102,0,0,Singapore
2021-10-29,0,0,ay.102,0,0,Singapore
2021-10-30,0,0,ay.102,0,0,Singapore
2021-10-31,0,0,ay.102,0,0,Singapore
2021-11-01,0,0,ay.102,0,0,Singapore
2021-11-02,0,0,ay.102,0,0,Singapore
2021-11-03,0,0,ay.102,0,0,Singapore
2021-11-04,0,0,ay.102,0,0,Singapore
2021-11-05,0,0,ay.102,0,0,Singapore
2021-11-06,0,0,ay.102,0,0,Singapore
