date,total_count,lineage_count,lineage,prevalence,prevalence_rolling,Country
2020-11-28,6,2,a.23.1,0.333333333333333,0.777777777777778,Cambodia
2020-11-29,1,1,a.23.1,1,0.724137931034483,Cambodia
2020-11-30,0,0,a.23.1,0,0.636363636363636,Cambodia
2020-12-01,0,0,a.23.1,0,0.323076923076923,Cambodia
2020-12-02,2,2,a.23.1,1,0.636363636363636,Cambodia
2020-12-03,2,2,a.23.1,1,0.671232876712329,Cambodia
2020-12-04,1,1,a.23.1,1,0.666666666666667,Cambodia
2020-12-05,2,2,a.23.1,1,1,Cambodia
2021-10-16,9,1,ay.100,0.111111111111111,0.0835820895522388,Cambodia
2021-10-17,0,0,ay.100,0,0.0438047559449312,Cambodia
2021-10-18,0,0,ay.100,0,0.029723991507431,Cambodia
2021-10-19,0,0,ay.100,0,0.0197183098591549,Cambodia
2021-10-20,0,0,ay.100,0,0.0169902912621359,Cambodia
2021-10-21,0,0,ay.100,0,0.0135396518375242,Cambodia
2021-10-22,0,0,ay.100,0,0.0120481927710843,Cambodia
2021-10-23,0,0,ay.100,0,0,Cambodia
2021-10-24,0,0,ay.100,0,0,Cambodia
2021-10-25,0,0,ay.100,0,0,Cambodia
2021-10-26,0,0,ay.100,0,0,Cambodia
2021-10-27,0,0,ay.100,0,0,Cambodia
2021-10-28,0,0,ay.100,0,0,Cambodia
2021-10-29,0,0,ay.100,0,0,Cambodia
2021-10-30,0,0,ay.100,0,0,Cambodia
2021-10-31,0,0,ay.100,0,0,Cambodia
2021-11-01,0,0,ay.100,0,0,Cambodia
2021-11-02,0,0,ay.100,0,0,Cambodia
2021-11-03,0,0,ay.100,0,0,Cambodia
2021-11-04,0,0,ay.100,0,0,Cambodia
2021-11-05,0,0,ay.100,0,0,Cambodia
2021-11-06,0,0,ay.100,0,0,Cambodia
2021-11-07,0,0,ay.100,0,0,Cambodia
2021-11-08,0,0,ay.100,0,0,Cambodia
2021-11-09,0,0,ay.100,0,0,Cambodia
2021-11-10,0,0,ay.100,0,0,Cambodia
2021-11-11,0,0,ay.100,0,0,Cambodia
2021-11-12,0,0,ay.100,0,0,Cambodia
2021-11-13,0,0,ay.100,0,0,Cambodia
2021-11-14,11,1,ay.100,0.0909090909090909,0.0117647058823529,Cambodia
2021-11-15,0,0,ay.100,0,0.0133333333333333,Cambodia
2021-11-16,0,0,ay.100,0,0.0136986301369863,Cambodia
2021-11-17,0,0,ay.100,0,0.0151515151515152,Cambodia
2021-11-18,0,0,ay.100,0,0.0140845070422535,Cambodia
2021-11-19,0,0,ay.100,0,0.0149253731343284,Cambodia
2021-11-20,0,0,ay.100,0,0.0147058823529412,Cambodia
2021-11-21,0,0,ay.100,0,0,Cambodia
2021-11-22,0,0,ay.100,0,0,Cambodia
2021-11-23,0,0,ay.100,0,0,Cambodia
2021-11-24,0,0,ay.100,0,0,Cambodia
2021-11-25,0,0,ay.100,0,0,Cambodia
2021-11-26,0,0,ay.100,0,0,Cambodia
2021-11-27,0,0,ay.100,0,0,Cambodia
2021-11-28,0,0,ay.100,0,0,Cambodia
2021-11-29,0,0,ay.100,0,0,Cambodia
2021-11-30,0,0,ay.100,0,0,Cambodia
2021-12-01,0,0,ay.100,0,0,Cambodia
2021-12-02,0,0,ay.100,0,0,Cambodia
2021-12-03,0,0,ay.100,0,0,Cambodia
2021-12-04,0,0,ay.100,0,0,Cambodia
2021-12-05,0,0,ay.100,0,0,Cambodia
2021-12-06,0,0,ay.100,0,0,Cambodia
2021-12-07,0,0,ay.100,0,0,Cambodia
2021-12-08,0,0,ay.100,0,0,Cambodia
2021-12-09,0,0,ay.100,0,0,Cambodia
2021-12-10,0,0,ay.100,0,0,Cambodia
2021-12-11,0,0,ay.100,0,0,Cambodia
2021-12-12,0,0,ay.100,0,0,Cambodia
2021-12-13,0,0,ay.100,0,0,Cambodia
2021-12-14,0,0,ay.100,0,0,Cambodia
2021-12-15,0,0,ay.100,0,0,Cambodia
2021-12-16,0,0,ay.100,0,0,Cambodia
2021-12-17,0,0,ay.100,0,0,Cambodia
2021-12-18,0,0,ay.100,0,0,Cambodia
2021-12-19,0,0,ay.100,0,0,Cambodia
2021-12-20,0,0,ay.100,0,0,Cambodia
2021-12-21,0,0,ay.100,0,0,Cambodia
2021-12-22,0,0,ay.100,0,0,Cambodia
2021-12-23,0,0,ay.100,0,0,Cambodia
2021-12-24,6,1,ay.100,0.166666666666667,0.0285714285714286,Cambodia
2021-12-25,0,0,ay.100,0,0.0149253731343284,Cambodia
2021-12-26,0,0,ay.100,0,0.0165289256198347,Cambodia
2021-12-27,0,0,ay.100,0,0.0182370820668693,Cambodia
2021-12-28,0,0,ay.100,0,0.0172166427546628,Cambodia
2021-12-29,0,0,ay.100,0,0.0160901045856798,Cambodia
2021-12-30,0,0,ay.100,0,0.015511892450879,Cambodia
2021-12-31,0,0,ay.100,0,0,Cambodia
2022-01-01,0,0,ay.100,0,0,Cambodia
2022-01-02,8,1,ay.100,0.125,0.0183150183150183,Cambodia
2022-01-03,0,0,ay.100,0,0.0167597765363129,Cambodia
2022-01-04,0,0,ay.100,0,0.0138888888888889,Cambodia
2022-01-05,0,0,ay.100,0,0.0133333333333333,Cambodia
2022-01-06,0,0,ay.100,0,0.00975609756097561,Cambodia
2022-01-07,0,0,ay.100,0,0.0109489051094891,Cambodia
