Date,CountryCode,CountryName,Alpha,Beta,Gamma,Delta,Omicron
2020-12-21,0,THA,0,0,0,0,0
2020-12-22,0,THA,0,0,0,0,0
2020-12-23,0,THA,0,0,0,0,0
2020-12-24,0,THA,0,0,0,0,0
2020-12-25,0,THA,0,0,0,0,0
2020-12-28,0,THA,0,0,0,0,0
2020-12-30,0,THA,0,0,0,0,0
2021-01-02,0,THA,0,0,0,0,0
2021-01-03,0,THA,0,0,0,0,0
2021-01-04,0,THA,0,0,0,0,0
2021-01-05,0,THA,0,0,0,0,0
2021-01-06,0,THA,0,0,0,0,0
2021-01-07,0,THA,0,0,0,0,0
2021-01-08,0,THA,0.0235294117647059,0,0,0,0
2021-01-09,0,THA,0.0227272727272727,0,0,0,0
2021-01-10,0,THA,0.0224719101123596,0,0,0,0
2021-01-11,0,THA,0.0229885057471264,0,0,0,0
2021-01-12,0,THA,0.0256410256410256,0,0,0,0
2021-01-13,0,THA,0.025974025974026,0,0,0,0
2021-01-14,0,THA,0.025974025974026,0,0,0,0
2021-01-15,0,THA,0.0526315789473684,0,0,0,0
2021-01-16,0,THA,0.0537634408602151,0,0,0,0
2021-01-17,0,THA,0.0645161290322581,0,0,0,0
2021-01-18,0,THA,0.0821917808219178,0,0,0,0
2021-01-19,0,THA,0.0923076923076923,0,0,0,0
2021-01-20,0,THA,0.0923076923076923,0,0,0,0
2021-01-21,0,THA,0.121212121212121,0,0,0,0
2021-01-22,0,THA,0.109375,0,0,0.046875,0
2021-01-23,0,THA,0.101694915254237,0,0,0,0
2021-01-25,0,THA,0.120689655172414,0,0,0,0
2021-01-27,0,THA,0.140350877192982,0,0,0,0
2021-01-29,0,THA,0.169811320754717,0,0,0,0
2021-01-30,0,THA,0.163636363636364,0,0,0,0
2021-01-31,0,THA,0.128571428571429,0,0,0,0
2021-02-02,0,THA,0.148936170212766,0,0,0,0
2021-02-03,0,THA,0.148936170212766,0,0,0,0
2021-02-04,0,THA,0.156862745098039,0,0,0,0
2021-02-05,0,THA,0.16,0,0,0,0
2021-02-08,0,THA,0.173913043478261,0,0,0,0
2021-02-09,0,THA,0.114285714285714,0,0,0,0
2021-02-10,0,THA,0.0869565217391304,0,0,0,0
2021-02-11,0,THA,0.0705882352941176,0,0,0,0
2021-02-12,0,THA,0.161616161616162,0,0,0,0
2021-02-13,0,THA,0.147058823529412,0,0,0,0
2021-02-14,0,THA,0.134615384615385,0,0,0,0
2021-02-15,0,THA,0.116279069767442,0,0,0,0
2021-02-16,0,THA,0.111940298507463,0,0,0,0
2021-02-17,0,THA,0.122950819672131,0,0,0,0
2021-02-18,0,THA,0.112,0.032,0,0,0
2021-02-20,0,THA,0.112903225806452,0.0241935483870968,0,0,0
2021-02-22,0,THA,0.0983606557377049,0.0245901639344262,0,0,0
2021-02-23,0,THA,0.0983606557377049,0.0163934426229508,0,0,0
2021-02-24,0,THA,0.103174603174603,0.0158730158730159,0,0,0
2021-02-28,0,THA,0.14,0.02,0,0,0
2021-03-01,0,THA,0.14,0.02,0,0,0
2021-03-03,0,THA,0.181818181818182,0.0227272727272727,0,0,0
2021-03-05,0,THA,0.0810810810810811,0,0,0,0
2021-03-06,0,THA,0.105263157894737,0,0,0,0
2021-03-07,0,THA,0.123287671232877,0,0,0,0
2021-03-09,0,THA,0.137254901960784,0,0,0,0
2021-03-10,0,THA,0.159090909090909,0,0,0,0
2021-03-11,0,THA,0.14,0,0,0,0
2021-03-12,0,THA,0.14,0,0,0,0
2021-03-13,0,THA,0.14,0,0,0,0
