Date,CountryCode,CountryName,Alpha,Beta,Gamma,Delta,Omicron
2020-12-29,0,LBN,0,0,0,0,0
2020-12-30,0,LBN,0,0,0,0,0
2021-01-01,0,LBN,0,0,0,0,0
2021-01-04,0,LBN,0,0,0,0,0
2021-01-05,0,LBN,0,0,0,0,0
2021-01-06,0,LBN,0,0,0,0,0
2021-01-07,0,LBN,0,0,0,0,0
2021-01-11,0,LBN,0,0,0,0,0
2021-01-12,0,LBN,0,0,0,0,0
2021-01-13,0,LBN,0,0,0,0,0
2021-01-14,0,LBN,0,0,0,0,0
2021-01-15,0,LBN,0,0,0,0,0
2021-01-18,0,LBN,0,0,0,0,0
2021-01-19,0,LBN,0.240875912408759,0,0,0,0
2021-01-20,0,LBN,0.27972027972028,0,0,0,0
2021-01-21,0,LBN,0.291970802919708,0,0,0,0
2021-01-22,0,LBN,0.3,0,0,0,0
2021-01-25,0,LBN,0.326241134751773,0,0,0,0
2021-01-26,0,LBN,0.488,0,0,0,0
2021-01-27,0,LBN,0.553030303030303,0,0,0,0
2021-01-28,0,LBN,0.58695652173913,0,0,0,0
2021-01-29,0,LBN,0.619402985074627,0,0,0,0
2021-02-01,0,LBN,0.710743801652893,0,0,0,0
2021-02-02,0,LBN,0.779816513761468,0,0,0,0
2021-02-04,0,LBN,0.783018867924528,0,0,0,0
2021-02-05,0,LBN,0.80188679245283,0,0,0,0
2021-02-08,0,LBN,0.824561403508772,0,0,0,0
2021-02-09,0,LBN,0.865079365079365,0,0,0,0
2021-02-10,0,LBN,0.900709219858156,0,0,0,0
2021-02-11,0,LBN,0.900662251655629,0,0,0,0
2021-02-12,0,LBN,0.913333333333333,0,0,0,0
2021-02-15,0,LBN,0.922619047619048,0,0,0,0
2021-02-16,0,LBN,0.96045197740113,0,0,0,0
2021-02-17,0,LBN,0.970760233918129,0,0,0,0
2021-02-18,0,LBN,0.965714285714286,0,0,0,0
2021-02-19,0,LBN,0.965714285714286,0,0,0,0
2021-02-22,0,LBN,0.96,0,0,0,0
2021-02-23,0,LBN,0.966019417475728,0,0,0,0
2021-02-24,0,LBN,0.969026548672566,0,0,0,0
2021-02-25,0,LBN,0.970588235294118,0,0,0,0
2021-03-01,0,LBN,0.974683544303798,0,0,0,0
2021-03-02,0,LBN,0.979508196721312,0,0,0,0
2021-03-03,0,LBN,0.987012987012987,0,0,0,0
2021-03-04,0,LBN,0.991666666666667,0,0,0,0
2021-03-08,0,LBN,0.991666666666667,0,0,0,0
2021-03-09,0,LBN,0.991525423728813,0,0,0,0
2021-03-10,0,LBN,0.991111111111111,0,0,0,0
2021-03-11,0,LBN,0.991666666666667,0,0,0,0
2021-03-12,0,LBN,0.995708154506438,0,0,0,0
2021-03-15,0,LBN,0.99622641509434,0,0,0,0
2021-03-16,0,LBN,1,0,0,0,0
2021-03-17,0,LBN,1,0,0,0,0
2021-03-18,0,LBN,1,0,0,0,0
2021-03-19,0,LBN,1,0,0,0,0
2021-03-22,0,LBN,1,0,0,0,0
2021-03-23,0,LBN,1,0,0,0,0
2021-03-24,0,LBN,1,0,0,0,0
2021-03-25,0,LBN,1,0,0,0,0
2021-03-29,0,LBN,1,0,0,0,0
2021-03-30,0,LBN,1,0,0,0,0
2021-03-31,0,LBN,1,0,0,0,0
2021-04-01,0,LBN,1,0,0,0,0
2021-04-05,0,LBN,1,0,0,0,0
2021-04-06,0,LBN,1,0,0,0,0
2021-04-07,0,LBN,1,0,0,0,0
2021-04-08,0,LBN,1,0,0,0,0
2021-04-12,0,LBN,1,0,0,0,0
2021-04-13,0,LBN,1,0,0,0,0
2021-04-14,0,LBN,1,0,0,0,0
2021-04-15,0,LBN,1,0,0,0,0
2021-04-19,0,LBN,0.994897959183674,0,0,0,0
2021-04-20,0,LBN,0.994535519125683,0,0,0,0
2021-04-21,0,LBN,0.994594594594595,0,0,0,0
2021-04-22,0,LBN,0.994186046511628,0,0,0,0
2021-04-26,0,LBN,0.994219653179191,0,0,0,0
2021-04-27,0,LBN,0.994117647058824,0,0,0,0
2021-04-28,0,LBN,0.99438202247191,0,0,0,0
2021-04-29,0,LBN,0.99390243902439,0,0,0,0
2021-05-03,0,LBN,0.993630573248408,0,0,0,0
2021-05-04,0,LBN,0.993506493506494,0,0,0,0
2021-06-25,0,LBN,0.96551724137931,0,0,0,0
2021-06-29,0,LBN,0.936619718309859,0,0,0,0
2021-06-30,0,LBN,0.906474820143885,0,0,0,0
2021-07-01,0,LBN,0.823529411764706,0,0,0,0
2021-07-02,0,LBN,0.766990291262136,0,0,0,0
2021-07-03,0,LBN,0.698924731182796,0,0,0,0
2021-07-05,0,LBN,0.627906976744186,0,0,0,0
2021-07-06,0,LBN,0.544444444444444,0,0,0,0
2021-07-07,0,LBN,0.434782608695652,0,0,0,0
2021-07-08,0,LBN,0.329113924050633,0,0,0,0
2021-07-09,0,LBN,0.211267605633803,0,0,0,0
2021-07-12,0,LBN,0.144736842105263,0,0,0,0
2021-07-13,0,LBN,0.0555555555555555,0,0,0,0
2021-07-14,0,LBN,0.0136986301369863,0,0,0.986301369863014,0
2021-07-15,0,LBN,0.0131578947368421,0,0,0.986842105263158,0
2021-07-16,0,LBN,0.0136986301369863,0,0,0.986301369863014,0
2021-07-22,0,LBN,0.0136986301369863,0,0,0.986301369863014,0
2021-07-23,0,LBN,0.0151515151515152,0,0,0.984848484848485,0
2021-07-25,0,LBN,0.015625,0,0,0.984375,0
2021-07-26,0,LBN,0.015625,0,0,0.984375,0
2021-07-27,0,LBN,0.015625,0,0,0.984375,0
2021-08-02,0,LBN,0.0178571428571429,0,0,0.982142857142857,0
2021-08-03,0,LBN,0.0192307692307692,0,0,0.980769230769231,0
2021-08-05,0,LBN,0.0181818181818182,0,0,0.981818181818182,0
2021-08-10,0,LBN,0.0158730158730159,0,0,0.984126984126984,0
2021-08-11,0,LBN,0.0178571428571429,0,0,0.982142857142857,0
2021-08-12,0,LBN,0.0172413793103448,0,0,0.982758620689655,0
2021-08-16,0,LBN,0,0,0,1,0
2021-08-17,0,LBN,0,0,0,1,0
2021-08-18,0,LBN,0,0,0,1,0
2021-08-19,0,LBN,0,0,0,1,0
2021-08-23,0,LBN,0,0,0,1,0
2021-08-26,0,LBN,0,0,0,1,0
2021-08-27,0,LBN,0,0,0,1,0
2021-08-30,0,LBN,0,0,0,1,0
2021-08-31,0,LBN,0,0,0,1,0
2021-09-01,0,LBN,0,0,0,1,0
2021-09-02,0,LBN,0,0,0,1,0
2021-09-03,0,LBN,0,0,0,1,0
2021-09-06,0,LBN,0,0,0,1,0
2021-09-07,0,LBN,0,0,0,1,0
2021-09-08,0,LBN,0,0,0,1,0
2021-09-09,0,LBN,0,0,0,1,0
2021-09-15,0,LBN,0,0,0,1,0
2021-09-16,0,LBN,0,0,0,1,0
2021-09-17,0,LBN,0,0,0,1,0
2021-09-20,0,LBN,0,0,0,1,0
2021-09-21,0,LBN,0,0,0,1,0
2021-09-30,0,LBN,0,0,0,1,0
2021-10-01,0,LBN,0,0,0,1,0
2021-10-04,0,LBN,0,0,0,1,0
2021-10-05,0,LBN,0,0,0,1,0
2021-10-06,0,LBN,0,0,0,1,0
2021-10-07,0,LBN,0,0,0,1,0
2021-10-13,0,LBN,0,0,0,1,0
2021-10-14,0,LBN,0,0,0,1,0
2021-10-22,0,LBN,0,0,0,1,0
2021-10-25,0,LBN,0,0,0,1,0
2021-10-26,0,LBN,0,0,0,1,0
2021-10-27,0,LBN,0,0,0,1,0
2021-10-28,0,LBN,0,0,0,1,0
2021-10-29,0,LBN,0,0,0,1,0
2021-11-02,0,LBN,0,0,0,1,0
2021-11-05,0,LBN,0,0,0,1,0
2021-11-08,0,LBN,0,0,0,1,0
2021-11-09,0,LBN,0,0,0,1,0
2021-11-25,0,LBN,0,0,0,1,0
2021-11-26,0,LBN,0,0,0,1,0
2021-12-02,0,LBN,0,0,0,1,0
2021-12-03,0,LBN,0,0,0,0.967741935483871,0
2021-12-04,0,LBN,0,0,0,0.931034482758621,0
2021-12-06,0,LBN,0,0,0,0.851851851851852,0
2021-12-07,0,LBN,0,0,0,0.833333333333333,0
2021-12-08,0,LBN,0,0,0,0.833333333333333,0
2021-12-09,0,LBN,0,0,0,0.818181818181818,0
2021-12-10,0,LBN,0,0,0,0.739130434782609,0
2021-12-13,0,LBN,0,0,0,0.652173913043478,0
2021-12-15,0,LBN,0,0,0,0.6,0
2021-12-16,0,LBN,0,0,0,0.578947368421053,0
2021-12-28,0,LBN,0,0,0,0.636363636363636,0
2022-01-04,0,LBN,0,0,0,0.636363636363636,0
2022-01-05,0,LBN,0,0,0,0.611111111111111,0
2022-01-06,0,LBN,0,0,0,0.583333333333333,0.388888888888889
2022-01-07,0,LBN,0,0,0,0.6,0.371428571428571
2022-01-08,0,LBN,0,0,0,0.6,0.371428571428571
2022-01-10,0,LBN,0,0,0,0.647058823529412,0.323529411764706
2022-01-11,0,LBN,0,0,0,0.628571428571429,0.342857142857143
2022-01-12,0,LBN,0,0,0,0.6,0.371428571428571
2022-01-14,0,LBN,0,0,0,0.571428571428571,0.4
2022-01-15,0,LBN,0,0,0,0.575757575757576,0.393939393939394
2022-01-16,0,LBN,0,0,0,0.625,0.34375
2022-01-17,0,LBN,0,0,0,0.59375,0.375
2022-01-18,0,LBN,0,0,0,0.487804878048781,0.487804878048781
2022-01-19,0,LBN,0,0,0,0.326923076923077,0.653846153846154
2022-01-20,0,LBN,0,0,0,0.178571428571429,0.785714285714286
2022-01-21,0,LBN,0,0,0,0.140350877192982,0.842105263157895
2022-01-23,0,LBN,0,0,0,0.137931034482759,0.827586206896552
2022-01-24,0,LBN,0,0,0,0.120689655172414,0.844827586206896
2022-01-25,0,LBN,0,0,0,0.0972222222222222,0.847222222222222
2022-01-26,0,LBN,0,0,0,0.0875,0.8625
2022-02-01,0,LBN,0,0,0,0.0714285714285714,0.869047619047619
2022-02-16,0,LBN,0,0,0,0.0666666666666667,0.877777777777778
2022-02-17,0,LBN,0,0,0,0.0652173913043478,0.880434782608696
2022-02-18,0,LBN,0,0,0,0.0638297872340426,0.872340425531915
