Date,CountryCode,CountryName,Alpha,Beta,Gamma,Delta,Omicron
2020-05-14,0,CAN,0,0,0,0,0
2020-05-15,0,CAN,0,0,0,0,0
2020-05-16,0,CAN,0,0,0,0,0
2020-05-17,0,CAN,0,0,0,0,0
2020-05-18,0,CAN,0,0,0,0,0
2020-05-19,0,CAN,0,0,0,0,0
2020-05-20,0,CAN,0,0,0,0,0
2020-05-21,0,CAN,0,0,0,0,0
2020-05-22,0,CAN,0,0,0,0,0
2020-05-23,0,CAN,0,0,0,0,0
2020-05-24,0,CAN,0,0,0,0,0
2020-05-25,0,CAN,0,0,0,0,0
2020-05-26,0,CAN,0,0,0,0,0
2020-05-27,0,CAN,0.000864304235090752,0,0,0,0
2020-05-28,0,CAN,0,0,0,0,0
2020-05-29,0,CAN,0,0,0,0,0
2020-05-30,0,CAN,0,0,0,0,0
2020-05-31,0,CAN,0,0,0,0,0
2020-06-01,0,CAN,0,0,0,0,0
2020-06-02,0,CAN,0,0,0,0,0
2020-06-03,0,CAN,0,0,0,0,0
2020-06-04,0,CAN,0,0,0,0,0
2020-06-05,0,CAN,0,0,0,0,0
2020-06-06,0,CAN,0,0,0,0,0
2020-06-07,0,CAN,0,0,0,0,0
2020-06-08,0,CAN,0,0,0,0,0
2020-06-09,0,CAN,0,0,0,0,0
2020-06-10,0,CAN,0,0,0,0,0
2020-06-11,0,CAN,0,0,0,0,0
2020-06-12,0,CAN,0,0,0,0,0
2020-06-13,0,CAN,0,0,0,0,0
2020-06-14,0,CAN,0,0,0,0,0
2020-06-15,0,CAN,0,0,0,0,0
2020-06-16,0,CAN,0,0,0,0,0
2020-06-17,0,CAN,0,0,0,0,0
2020-06-18,0,CAN,0,0,0,0,0
2020-06-19,0,CAN,0,0,0,0,0
2020-06-20,0,CAN,0,0,0,0,0
2020-06-21,0,CAN,0,0,0,0,0
2020-06-22,0,CAN,0,0,0,0,0
2020-06-23,0,CAN,0,0,0,0,0
2020-06-24,0,CAN,0,0,0,0,0
2020-06-25,0,CAN,0,0,0,0,0
2020-06-26,0,CAN,0,0,0,0,0
2020-06-27,0,CAN,0,0,0,0,0
2020-06-28,0,CAN,0,0,0,0,0
2020-06-29,0,CAN,0,0,0,0,0
2020-06-30,0,CAN,0,0,0,0,0
2020-07-01,0,CAN,0,0,0,0,0
2020-07-02,0,CAN,0,0,0,0,0
2020-07-03,0,CAN,0,0,0,0,0
2020-07-04,0,CAN,0,0,0,0,0
2020-07-05,0,CAN,0,0,0,0,0
2020-07-06,0,CAN,0,0,0,0,0
2020-07-07,0,CAN,0,0,0,0,0
2020-07-08,0,CAN,0,0,0,0,0
2020-07-09,0,CAN,0,0,0,0,0
2020-07-10,0,CAN,0,0,0,0,0
2020-07-11,0,CAN,0,0,0,0,0
2020-07-12,0,CAN,0,0,0,0,0
2020-07-13,0,CAN,0,0,0,0,0
2020-07-14,0,CAN,0,0,0,0,0
2020-07-15,0,CAN,0,0,0,0,0
2020-07-16,0,CAN,0,0,0,0,0
2020-07-17,0,CAN,0,0,0,0,0
2020-07-18,0,CAN,0,0,0,0,0
2020-07-19,0,CAN,0,0,0,0,0
2020-07-20,0,CAN,0,0,0,0,0
2020-07-21,0,CAN,0,0,0,0,0
2020-07-22,0,CAN,0,0,0,0,0
2020-07-23,0,CAN,0,0,0,0,0
2020-07-24,0,CAN,0,0,0,0,0
2020-07-25,0,CAN,0,0,0,0,0
2020-07-26,0,CAN,0,0,0,0,0
2020-07-27,0,CAN,0,0,0,0,0
2020-07-28,0,CAN,0,0,0,0,0
2020-07-29,0,CAN,0,0,0,0,0
2020-07-30,0,CAN,0,0,0,0,0
2020-07-31,0,CAN,0,0,0,0,0
2020-08-01,0,CAN,0,0,0,0,0
2020-08-02,0,CAN,0,0,0,0,0
2020-08-03,0,CAN,0,0,0,0,0
2020-08-04,0,CAN,0,0,0,0,0
2020-08-05,0,CAN,0,0,0,0,0
2020-08-06,0,CAN,0,0,0,0,0
2020-08-07,0,CAN,0,0,0,0,0
2020-08-08,0,CAN,0,0,0,0,0
2020-08-09,0,CAN,0,0,0,0,0
2020-08-10,0,CAN,0,0,0,0,0
2020-08-11,0,CAN,0,0,0,0,0
2020-08-12,0,CAN,0,0,0,0,0
2020-08-13,0,CAN,0,0,0,0,0
2020-08-14,0,CAN,0,0,0,0,0
2020-08-15,0,CAN,0,0,0,0,0
2020-08-16,0,CAN,0,0,0,0,0
2020-08-17,0,CAN,0,0,0,0,0
2020-08-18,0,CAN,0,0,0,0,0
2020-08-19,0,CAN,0,0,0,0,0
2020-08-20,0,CAN,0,0,0,0,0
2020-08-21,0,CAN,0,0,0,0,0
2020-08-22,0,CAN,0,0,0,0,0
2020-08-23,0,CAN,0,0,0,0,0
2020-08-24,0,CAN,0,0,0,0,0
2020-08-25,0,CAN,0,0,0,0,0
2020-08-26,0,CAN,0,0,0,0,0
2020-08-27,0,CAN,0,0,0,0,0
2020-08-28,0,CAN,0,0,0,0,0
2020-08-29,0,CAN,0,0,0,0,0
2020-08-30,0,CAN,0,0,0,0,0
2020-08-31,0,CAN,0,0,0,0,0
2020-09-01,0,CAN,0,0,0,0,0
2020-09-02,0,CAN,0,0,0,0,0
2020-09-03,0,CAN,0,0,0,0,0
2020-09-04,0,CAN,0,0,0,0,0
2020-09-05,0,CAN,0,0,0,0,0
2020-09-06,0,CAN,0,0,0,0,0
2020-09-07,0,CAN,0,0,0,0,0
2020-09-08,0,CAN,0,0,0,0,0
2020-09-09,0,CAN,0,0,0,0,0
2020-09-10,0,CAN,0,0,0,0,0
2020-09-11,0,CAN,0,0,0,0,0
2020-09-12,0,CAN,0,0,0,0,0
2020-09-13,0,CAN,0,0,0,0,0
2020-09-14,0,CAN,0,0,0,0,0
2020-09-15,0,CAN,0,0,0,0,0
2020-09-16,0,CAN,0,0,0,0,0
2020-09-17,0,CAN,0,0,0,0,0
2020-09-18,0,CAN,0,0,0,0,0
2020-09-19,0,CAN,0,0,0,0,0
2020-09-20,0,CAN,0,0,0,0,0
2020-09-21,0,CAN,0,0,0,0,0
2020-09-22,0,CAN,0,0,0,0,0
2020-09-23,0,CAN,0,0,0,0,0
2020-09-24,0,CAN,0,0,0,0,0
2020-09-25,0,CAN,0,0,0,0,0
2020-09-26,0,CAN,0,0,0,0,0
2020-09-27,0,CAN,0,0,0,0,0
2020-09-28,0,CAN,0,0,0,0,0
2020-09-29,0,CAN,0,0,0,0,0
2020-09-30,0,CAN,0,0,0,0,0
2020-10-01,0,CAN,0,0,0,0,0
2020-10-02,0,CAN,0,0,0,0,0
2020-10-03,0,CAN,0,0,0,0,0
2020-10-04,0,CAN,0,0,0,0,0
2020-10-05,0,CAN,0,0,0,0,0
2020-10-06,0,CAN,0,0,0,0,0
2020-10-07,0,CAN,0,0,0,0,0
2020-10-08,0,CAN,0,0,0,0,0
2020-10-09,0,CAN,0,0,0,0,0
2020-10-10,0,CAN,0,0,0,0,0
2020-10-11,0,CAN,0,0,0,0,0
2020-10-12,0,CAN,0,0,0,0,0
2020-10-13,0,CAN,0,0,0,0,0
2020-10-14,0,CAN,0,0,0,0,0
2020-10-15,0,CAN,0,0,0,0,0
2020-10-16,0,CAN,0,0,0,0,0
2020-10-17,0,CAN,0,0,0,0,0
2020-10-18,0,CAN,0,0,0,0,0
2020-10-19,0,CAN,0,0,0,0,0
2020-10-20,0,CAN,0,0,0,0,0
2020-10-21,0,CAN,0,0,0,0,0
2020-10-22,0,CAN,0,0,0,0,0
2020-10-23,0,CAN,0,0,0,0,0
2020-10-24,0,CAN,0,0,0,0,0
2020-10-25,0,CAN,0,0,0,0,0
2020-10-26,0,CAN,0,0,0,0,0
2020-10-27,0,CAN,0,0,0,0,0
2020-10-28,0,CAN,0,0,0,0,0
2020-10-29,0,CAN,0,0,0,0,0
2020-10-30,0,CAN,0,0,0,0,0
2020-10-31,0,CAN,0,0,0,0,0
2020-11-01,0,CAN,0,0,0,0,0
2020-11-02,0,CAN,0,0,0,0,0
2020-11-03,0,CAN,0,0,0,0,0
2020-11-04,0,CAN,0,0,0,0,0
2020-11-05,0,CAN,0,0,0,0,0
2020-11-06,0,CAN,0,0,0,0,0
2020-11-07,0,CAN,0,0,0,0,0
2020-11-08,0,CAN,0.00050709939148073,0,0,0,0
2020-11-09,0,CAN,0.000465983224603914,0,0,0,0
2020-11-10,0,CAN,0.000442086648983201,0,0,0,0
2020-11-11,0,CAN,0.000424628450106157,0,0,0.000424628450106157,0
2020-11-12,0,CAN,0.000402090872537193,0,0,0,0
2020-11-13,0,CAN,0.000388500388500388,0,0,0,0
2020-11-14,0,CAN,0.000380228136882129,0,0,0,0
2020-11-15,0,CAN,0.000264620269912675,0,0,0,0
2020-11-16,0,CAN,0.000263991552270327,0,0,0,0
2020-11-17,0,CAN,0.000264061262212833,0,0,0,0
2020-11-18,0,CAN,0.000267165375367352,0,0,0.000267165375367352,0
2020-11-19,0,CAN,0.000269034167339252,0,0,0.000269034167339252,0
2020-11-20,0,CAN,0.000273897562311695,0,0,0.000273897562311695,0
2020-11-21,0,CAN,0.000282087447108604,0,0,0.000282087447108604,0
2020-11-22,0,CAN,0,0,0,0.000291290416545296,0
2020-11-23,0,CAN,0,0,0,0.000301841231512225,0
2020-11-24,0,CAN,0,0,0,0.000494193229552755,0
2020-11-25,0,CAN,0,0,0,0.000507872016251905,0
2020-11-26,0,CAN,0,0,0,0.000522739153162572,0
2020-11-27,0,CAN,0,0,0,0.000530082162735224,0
2020-11-28,0,CAN,0,0,0,0.00053835800807537,0
2020-11-29,0,CAN,0,0,0,0.000776699029126214,0
2020-11-30,0,CAN,0,0,0,0.000765110941086458,0
2020-12-01,0,CAN,0,0,0,0.000765696784073507,0
2020-12-02,0,CAN,0,0,0,0.000380807311500381,0
2020-12-03,0,CAN,0,0,0,0.000379362670713202,0
2020-12-04,0,CAN,0,0,0,0.000371333085777943,0
2020-12-05,0,CAN,0,0,0,0.00037147102526003,0
2020-12-06,0,CAN,0,0,0,0.000376506024096386,0
2020-12-07,0,CAN,0,0,0,0.000367511944138184,0
2020-12-08,0,CAN,0,0,0,0,0
2020-12-09,0,CAN,0,0,0,0,0
2020-12-10,0,CAN,0,0,0,0,0
2020-12-11,0,CAN,0,0,0,0,0
2020-12-12,0,CAN,0,0,0,0,0
2020-12-13,0,CAN,0.000442086648983201,0,0,0,0
2020-12-14,0,CAN,0.000842105263157895,0,0,0,0
