Date,CountryCode,CountryName,Alpha,Beta,Gamma,Delta,Omicron
2021-01-11,0,PAN,0,0,0,0,0
2021-01-12,0,PAN,0,0,0,0,0
2021-01-13,0,PAN,0,0,0,0,0
2021-01-14,0,PAN,0,0,0,0,0
2021-01-15,0,PAN,0,0,0,0,0
2021-01-16,0,PAN,0,0,0,0,0
2021-01-18,0,PAN,0,0,0,0,0
2021-01-19,0,PAN,0,0,0,0,0
2021-01-20,0,PAN,0,0,0,0,0
2021-01-21,0,PAN,0,0,0,0,0
2021-01-22,0,PAN,0,0,0,0,0
2021-01-24,0,PAN,0,0,0,0,0
2021-01-25,0,PAN,0,0,0,0,0
2021-01-26,0,PAN,0,0.04,0,0,0
2021-01-27,0,PAN,0,0.0196078431372549,0,0,0
2021-01-28,0,PAN,0,0,0,0,0
2021-01-29,0,PAN,0,0,0,0,0
2021-01-30,0,PAN,0,0,0,0,0
2021-01-31,0,PAN,0,0,0,0,0
2021-02-01,0,PAN,0,0,0,0,0
2021-02-02,0,PAN,0,0,0,0,0
2021-02-03,0,PAN,0,0,0,0,0
2021-02-04,0,PAN,0,0,0,0,0
2021-02-05,0,PAN,0,0,0,0,0
2021-02-06,0,PAN,0,0,0,0,0
2021-02-07,0,PAN,0,0,0,0,0
2021-02-08,0,PAN,0,0,0,0,0
2021-02-09,0,PAN,0,0,0,0,0
2021-02-10,0,PAN,0,0,0,0,0
2021-02-11,0,PAN,0,0,0,0,0
2021-02-12,0,PAN,0,0,0,0,0
2021-02-13,0,PAN,0,0,0,0,0
2021-02-14,0,PAN,0,0,0,0,0
2021-02-16,0,PAN,0,0,0,0,0
2021-02-17,0,PAN,0,0,0,0,0
2021-02-18,0,PAN,0,0,0,0,0
2021-02-19,0,PAN,0,0,0,0,0
2021-02-20,0,PAN,0,0,0,0,0
2021-02-21,0,PAN,0,0,0,0,0
2021-02-22,0,PAN,0,0,0,0,0
2021-02-23,0,PAN,0,0,0,0,0
2021-02-24,0,PAN,0,0,0,0,0
2021-02-26,0,PAN,0,0,0,0,0
2021-02-28,0,PAN,0,0,0,0,0
2021-03-01,0,PAN,0,0,0,0,0
2021-03-02,0,PAN,0,0,0,0,0
2021-03-03,0,PAN,0,0,0,0,0
2021-03-04,0,PAN,0,0,0,0,0
2021-03-05,0,PAN,0,0,0,0,0
2021-03-06,0,PAN,0,0,0,0,0
2021-03-07,0,PAN,0,0,0,0,0
2021-03-08,0,PAN,0,0,0,0,0
2021-03-09,0,PAN,0,0,0,0,0
2021-03-10,0,PAN,0,0,0,0,0
2021-03-11,0,PAN,0,0,0,0,0
2021-03-12,0,PAN,0,0,0,0,0
2021-03-13,0,PAN,0,0,0,0,0
2021-03-14,0,PAN,0,0,0,0,0
2021-03-15,0,PAN,0,0,0,0,0
2021-03-16,0,PAN,0,0,0,0,0
2021-03-17,0,PAN,0,0,0.0510204081632653,0,0
2021-03-18,0,PAN,0,0,0.0421052631578947,0,0
2021-03-19,0,PAN,0,0,0.0789473684210526,0,0
2021-03-20,0,PAN,0,0,0.0897435897435897,0,0
2021-03-21,0,PAN,0,0,0.0886075949367089,0,0
2021-03-22,0,PAN,0,0,0.0897435897435897,0,0
2021-03-23,0,PAN,0,0,0.0921052631578947,0,0
2021-03-24,0,PAN,0,0,0.111111111111111,0,0
2021-03-25,0,PAN,0,0,0.101449275362319,0,0
2021-03-26,0,PAN,0,0,0.0933333333333333,0,0
2021-03-27,0,PAN,0,0,0.103896103896104,0,0
2021-03-28,0,PAN,0,0,0.0987654320987654,0,0
2021-03-29,0,PAN,0,0,0.105263157894737,0,0
2021-03-30,0,PAN,0,0,0.108108108108108,0,0
2021-03-31,0,PAN,0,0,0.116883116883117,0,0
2021-04-01,0,PAN,0,0,0.119047619047619,0,0
2021-04-02,0,PAN,0,0,0.0987654320987654,0,0
2021-04-03,0,PAN,0,0,0.0898876404494382,0,0
2021-04-04,0,PAN,0,0,0.0989010989010989,0,0
2021-04-05,0,PAN,0,0,0.12,0,0
2021-04-06,0,PAN,0,0,0.134615384615385,0,0
2021-04-07,0,PAN,0.0686274509803922,0,0.127450980392157,0,0
2021-04-08,0,PAN,0.06,0,0.14,0,0
2021-04-09,0,PAN,0.0618556701030928,0,0.144329896907216,0,0
2021-04-10,0,PAN,0.0631578947368421,0,0.147368421052632,0,0
2021-04-11,0,PAN,0.0860215053763441,0,0.150537634408602,0,0
2021-04-12,0,PAN,0.0869565217391305,0,0.130434782608696,0,0
2021-04-13,0,PAN,0.0925925925925926,0,0.12962962962963,0,0
2021-04-14,0,PAN,0.0808080808080808,0,0.111111111111111,0,0
2021-04-15,0,PAN,0.0989010989010989,0,0.10989010989011,0,0
2021-04-16,0,PAN,0.111111111111111,0,0.111111111111111,0,0
2021-04-17,0,PAN,0.111111111111111,0,0.111111111111111,0,0
2021-04-18,0,PAN,0.126582278481013,0,0.113924050632911,0,0
2021-04-19,0,PAN,0.157894736842105,0,0.0789473684210526,0,0
2021-04-20,0,PAN,0.131578947368421,0,0.0789473684210526,0,0
2021-04-21,0,PAN,0.131578947368421,0,0.0789473684210526,0,0
2021-04-22,0,PAN,0.133333333333333,0,0.0666666666666667,0,0
2021-04-23,0,PAN,0.135802469135802,0,0.0740740740740741,0,0
2021-04-24,0,PAN,0.134146341463415,0,0.0609756097560976,0,0
2021-04-25,0,PAN,0.125,0,0.0568181818181818,0,0
2021-04-26,0,PAN,0.140625,0,0.0625,0,0
2021-04-27,0,PAN,0.158730158730159,0,0.0634920634920635,0,0
2021-04-28,0,PAN,0.157142857142857,0,0.0571428571428571,0,0
2021-04-29,0,PAN,0.139240506329114,0,0.0506329113924051,0,0
2021-04-30,0,PAN,0.160493827160494,0,0.0617283950617284,0,0
2021-05-01,0,PAN,0.1625,0,0.075,0,0
2021-05-02,0,PAN,0.144578313253012,0,0.0602409638554217,0,0
2021-05-03,0,PAN,0.188888888888889,0,0.0555555555555556,0,0
2021-05-04,0,PAN,0.179775280898876,0,0.0337078651685393,0,0
2021-05-05,0,PAN,0.193548387096774,0,0.032258064516129,0,0
2021-05-06,0,PAN,0.198019801980198,0,0.0495049504950495,0,0
2021-05-07,0,PAN,0.22,0,0.04,0,0
2021-05-08,0,PAN,0.22,0,0.07,0,0
2021-05-09,0,PAN,0.236559139784946,0,0.0752688172043011,0,0
2021-05-10,0,PAN,0.306306306306306,0,0.0720720720720721,0,0
2021-05-11,0,PAN,0.301724137931035,0,0.0689655172413793,0,0
2021-05-12,0,PAN,0.307692307692308,0,0.102564102564103,0.00854700854700855,0
2021-05-13,0,PAN,0.313559322033898,0,0.11864406779661,0,0
2021-05-14,0,PAN,0.28099173553719,0,0.140495867768595,0,0
2021-05-16,0,PAN,0.265625,0,0.125,0,0
2021-05-17,0,PAN,0.272727272727273,0,0.121212121212121,0,0
2021-05-18,0,PAN,0.246031746031746,0,0.126984126984127,0.0317460317460317,0
2021-05-19,0,PAN,0.251968503937008,0,0.141732283464567,0.031496062992126,0
2021-05-20,0,PAN,0.2578125,0,0.1484375,0.03125,0
2021-05-21,0,PAN,0.263565891472868,0,0.131782945736434,0.0310077519379845,0
2021-05-22,0,PAN,0.256198347107438,0,0.15702479338843,0.0330578512396694,0
2021-05-23,0,PAN,0.266129032258065,0,0.137096774193548,0.032258064516129,0
2021-05-24,0,PAN,0.265151515151515,0,0.136363636363636,0.0303030303030303,0
2021-05-25,0,PAN,0.198347107438017,0,0.15702479338843,0.0330578512396694,0
2021-05-26,0,PAN,0.1953125,0,0.171875,0.03125,0
2021-05-27,0,PAN,0.19047619047619,0,0.166666666666667,0.0317460317460317,0
2021-05-28,0,PAN,0.192,0,0.16,0.032,0
2021-05-29,0,PAN,0.220472440944882,0,0.149606299212598,0.031496062992126,0
2021-05-30,0,PAN,0.208333333333333,0,0.1875,0.0277777777777778,0
2021-05-31,0,PAN,0.204379562043796,0,0.204379562043796,0.0291970802919708,0
2021-06-01,0,PAN,0.198529411764706,0,0.220588235294118,0,0
2021-06-02,0,PAN,0.204724409448819,0,0.220472440944882,0,0
2021-06-03,0,PAN,0.208,0,0.224,0,0
2021-06-04,0,PAN,0.186991869918699,0,0.24390243902439,0,0
2021-06-05,0,PAN,0.2,0,0.232,0,0
2021-06-06,0,PAN,0.19327731092437,0,0.235294117647059,0,0
2021-06-07,0,PAN,0.178571428571429,0,0.241071428571429,0,0
2021-06-08,0,PAN,0.191304347826087,0,0.269565217391304,0,0
2021-06-09,0,PAN,0.198019801980198,0,0.277227722772277,0,0
2021-06-10,0,PAN,0.198019801980198,0,0.287128712871287,0,0
2021-06-11,0,PAN,0.198019801980198,0,0.297029702970297,0,0
2021-06-12,0,PAN,0.175257731958763,0,0.278350515463918,0,0
2021-06-13,0,PAN,0.202702702702703,0,0.27027027027027,0,0
2021-06-14,0,PAN,0.216216216216216,0,0.27027027027027,0,0
2021-06-15,0,PAN,0.222222222222222,0,0.222222222222222,0,0
2021-06-16,0,PAN,0.235955056179775,0,0.213483146067416,0,0
2021-06-17,0,PAN,0.235294117647059,0,0.211764705882353,0,0
2021-06-18,0,PAN,0.238636363636364,0,0.204545454545455,0,0
2021-06-19,0,PAN,0.213483146067416,0,0.191011235955056,0,0
2021-06-20,0,PAN,0.225806451612903,0,0.193548387096774,0,0
2021-06-21,0,PAN,0.23469387755102,0,0.183673469387755,0,0
2021-06-22,0,PAN,0.260869565217391,0,0.141304347826087,0,0
2021-06-23,0,PAN,0.245098039215686,0,0.147058823529412,0,0
2021-06-24,0,PAN,0.24,0,0.11,0.01,0
