Date,CountryCode,CountryName,Alpha,Beta,Gamma,Delta,Omicron
2021-04-29,0,SLV,0,0,0,0,0
2021-04-30,0,SLV,0,0,0,0,0
2021-05-01,0,SLV,0,0,0,0,0
2021-05-02,0,SLV,0,0,0,0,0
2021-05-04,0,SLV,0,0,0,0,0
2021-05-05,0,SLV,0,0,0,0,0
2021-05-08,0,SLV,0,0,0,0,0
2021-05-15,0,SLV,0,0,0,0,0
2021-05-31,0,SLV,0,0,0,0,0
2021-06-01,0,SLV,0,0,0,0,0
2021-06-02,0,SLV,0,0,0,0,0
2021-06-04,0,SLV,0,0,0,0,0
2021-07-02,0,SLV,0,0,0,0,0
2021-07-04,0,SLV,0.024,0,0,0,0
2021-07-23,0,SLV,0.0264900662251656,0,0,0,0
2021-08-02,0,SLV,0.0285714285714286,0,0.00714285714285714,0,0
2021-11-01,0,SLV,0.027972027972028,0,0,0,0
2021-11-03,0,SLV,0.0264900662251656,0,0,0,0
2021-11-04,0,SLV,0.0258064516129032,0,0,0,0
2021-11-05,0,SLV,0.0254777070063694,0,0,0,0
2021-11-06,0,SLV,0.0251572327044025,0,0,0,0
2021-11-07,0,SLV,0.0254777070063694,0,0,0,0
2021-11-08,0,SLV,0.025,0,0,0,0
2021-11-09,0,SLV,0.0251572327044025,0,0,0,0
2021-11-10,0,SLV,0.025,0,0,0,0
2021-11-11,0,SLV,0.0251572327044025,0,0,0,0
2021-11-14,0,SLV,0.0258064516129032,0,0,0,0
2021-11-15,0,SLV,0.0272108843537415,0,0,0,0
2021-11-16,0,SLV,0.0169491525423729,0,0,0.745762711864407,0
2021-11-18,0,SLV,0,0,0,1,0
2021-11-21,0,SLV,0,0,0,1,0
2021-11-23,0,SLV,0,0,0,1,0
2021-11-24,0,SLV,0,0,0,1,0
2021-11-27,0,SLV,0,0,0,1,0
2021-11-28,0,SLV,0,0,0,1,0
2021-11-29,0,SLV,0,0,0,1,0
2021-12-01,0,SLV,0,0,0,1,0
2021-12-02,0,SLV,0,0,0,1,0
2021-12-03,0,SLV,0,0,0,1,0
