Date,CountryCode,CountryName,Alpha,Beta,Gamma,Delta,Omicron
2021-01-07,0,BLZ,0,0,0,0,0
2021-01-13,0,BLZ,0,0,0,0,0
2021-01-14,0,BLZ,0,0,0,0,0
2021-01-18,0,BLZ,0,0,0,0,0
2021-01-19,0,BLZ,0,0,0,0,0
2021-01-20,0,BLZ,0,0,0,0,0
2021-01-21,0,BLZ,0,0,0,0,0
2021-01-22,0,BLZ,0,0,0,0,0
2021-01-25,0,BLZ,0,0,0,0,0
2021-01-26,0,BLZ,0,0,0,0,0
2021-01-27,0,BLZ,0,0,0,0,0
2021-01-28,0,BLZ,0,0,0,0,0
2021-01-29,0,BLZ,0,0,0,0,0
2021-02-01,0,BLZ,0,0,0,0.0555555555555555,0
2021-02-02,0,BLZ,0,0,0,0,0
2021-02-04,0,BLZ,0,0,0,0,0
2021-02-05,0,BLZ,0,0,0,0,0
2021-02-07,0,BLZ,0,0,0,0.027027027027027,0
2021-02-08,0,BLZ,0.0540540540540541,0,0,0.027027027027027,0
2021-02-12,0,BLZ,0.027027027027027,0,0,0.027027027027027,0
2021-02-17,0,BLZ,0.0277777777777778,0,0,0.0277777777777778,0
2021-02-18,0,BLZ,0.027027027027027,0,0,0.027027027027027,0
2021-02-21,0,BLZ,0.0294117647058824,0,0,0.0294117647058824,0
2021-02-23,0,BLZ,0.03125,0,0,0.03125,0
2021-02-25,0,BLZ,0.0384615384615385,0,0,0.0384615384615385,0
2021-03-07,0,BLZ,0.04,0,0,0.08,0
2021-03-09,0,BLZ,0,0,0,0.0833333333333333,0
2021-03-15,0,BLZ,0,0,0,0.0833333333333333,0
2021-04-07,0,BLZ,0.0384615384615385,0,0,0.153846153846154,0
2021-04-29,0,BLZ,0.0434782608695652,0,0,0.173913043478261,0
2021-05-06,0,BLZ,0.0909090909090909,0,0,0.181818181818182,0
2021-05-07,0,BLZ,0.0909090909090909,0,0,0.303030303030303,0
2021-05-11,0,BLZ,0.0909090909090909,0,0,0.303030303030303,0
2021-05-25,0,BLZ,0.151515151515152,0,0,0.303030303030303,0
2021-05-30,0,BLZ,0.161290322580645,0,0,0.32258064516129,0
2021-06-07,0,BLZ,0.206896551724138,0,0,0.344827586206897,0
2021-06-16,0,BLZ,0.206896551724138,0,0,0.344827586206897,0
2021-06-18,0,BLZ,0.233333333333333,0,0,0.333333333333333,0
2021-06-19,0,BLZ,0.352941176470588,0,0,0.294117647058824,0
2021-06-21,0,BLZ,0.333333333333333,0,0,0.25,0
2021-06-23,0,BLZ,0.4,0,0,0.2,0
2021-06-24,0,BLZ,0.422222222222222,0,0,0.2,0
2021-06-25,0,BLZ,0.422222222222222,0,0,0.177777777777778,0
2021-06-26,0,BLZ,0.41304347826087,0,0,0.217391304347826,0
2021-06-27,0,BLZ,0.36,0,0.08,0.24,0
2021-06-28,0,BLZ,0.452380952380952,0,0.0714285714285714,0.142857142857143,0
2021-06-29,0,BLZ,0.444444444444444,0,0.0888888888888889,0.177777777777778,0
2021-06-30,0,BLZ,0.387755102040816,0,0.122448979591837,0.204081632653061,0
2021-07-07,0,BLZ,0.372549019607843,0,0.117647058823529,0.254901960784314,0
2021-07-16,0,BLZ,0.310344827586207,0,0.103448275862069,0.241379310344828,0
2021-07-17,0,BLZ,0.310344827586207,0,0.103448275862069,0.258620689655172,0
2021-07-19,0,BLZ,0.288135593220339,0,0.101694915254237,0.271186440677966,0
2021-07-20,0,BLZ,0.193548387096774,0,0.0967741935483871,0.354838709677419,0
2021-07-21,0,BLZ,0.183098591549296,0,0.126760563380282,0.394366197183099,0
2021-07-22,0,BLZ,0.0909090909090909,0,0.12987012987013,0.480519480519481,0
2021-07-23,0,BLZ,0.0731707317073171,0,0.158536585365854,0.475609756097561,0
2021-07-24,0,BLZ,0.0625,0,0.15,0.4875,0
2021-07-25,0,BLZ,0.0617283950617284,0,0.148148148148148,0.469135802469136,0
2021-07-26,0,BLZ,0.0632911392405063,0,0.151898734177215,0.468354430379747,0
2021-07-27,0,BLZ,0.0379746835443038,0,0.164556962025316,0.481012658227848,0
2021-07-28,0,BLZ,0.025974025974026,0,0.155844155844156,0.493506493506494,0
2021-07-30,0,BLZ,0.0136986301369863,0,0.136986301369863,0.493150684931507,0
2021-07-31,0,BLZ,0.0136986301369863,0,0.150684931506849,0.452054794520548,0
2021-08-03,0,BLZ,0.0142857142857143,0,0.157142857142857,0.514285714285714,0
2021-08-04,0,BLZ,0.0116279069767442,0,0.13953488372093,0.534883720930233,0
2021-08-05,0,BLZ,0.01,0,0.13,0.55,0
2021-08-06,0,BLZ,0.0105263157894737,0,0.136842105263158,0.536842105263158,0
2021-08-07,0,BLZ,0,0,0.125,0.522727272727273,0
2021-08-08,0,BLZ,0.0136986301369863,0,0.123287671232877,0.506849315068493,0
2021-08-09,0,BLZ,0.0128205128205128,0,0.0897435897435897,0.538461538461538,0
2021-08-10,0,BLZ,0.0121951219512195,0,0.0853658536585366,0.548780487804878,0
2021-09-17,0,BLZ,0.0125,0,0.0875,0.5625,0
2021-10-01,0,BLZ,0.0123456790123457,0,0.0740740740740741,0.592592592592593,0
2021-10-04,0,BLZ,0.0123456790123457,0,0.0617283950617284,0.617283950617284,0
2021-10-05,0,BLZ,0.0126582278481013,0,0.0632911392405063,0.620253164556962,0
2021-10-06,0,BLZ,0.0126582278481013,0,0.0632911392405063,0.645569620253165,0
2021-10-07,0,BLZ,0.0099009900990099,0,0.0396039603960396,0.742574257425742,0
2021-10-08,0,BLZ,0.0101010101010101,0,0.0404040404040404,0.747474747474748,0
2021-10-29,0,BLZ,0.0117647058823529,0,0.0352941176470588,0.776470588235294,0
2021-11-02,0,BLZ,0.0140845070422535,0,0.028169014084507,0.830985915492958,0
2021-11-04,0,BLZ,0.0144927536231884,0,0.0289855072463768,0.840579710144928,0
2021-11-05,0,BLZ,0.0153846153846154,0,0.0153846153846154,0.892307692307692,0
2021-11-06,0,BLZ,0,0,0.0144927536231884,0.91304347826087,0
2021-11-07,0,BLZ,0,0,0,0.967213114754098,0
2021-11-09,0,BLZ,0,0,0,0.983050847457627,0
2021-11-10,0,BLZ,0,0,0,0.983050847457627,0
2021-11-11,0,BLZ,0,0,0,0.982456140350877,0
2021-11-26,0,BLZ,0,0,0,0.983333333333333,0
2021-11-27,0,BLZ,0,0,0,0.983606557377049,0
2021-11-28,0,BLZ,0,0,0,0.983333333333333,0
2021-11-29,0,BLZ,0,0,0,1,0
2021-11-30,0,BLZ,0,0,0,1,0
2021-12-01,0,BLZ,0,0,0,1,0
2021-12-02,0,BLZ,0,0,0,1,0
2021-12-03,0,BLZ,0,0,0,1,0
2021-12-04,0,BLZ,0,0,0,1,0
2021-12-06,0,BLZ,0,0,0,1,0
2021-12-08,0,BLZ,0,0,0,1,0
2021-12-10,0,BLZ,0,0,0,1,0
2021-12-18,0,BLZ,0,0,0,1,0
2021-12-20,0,BLZ,0,0,0,0.953488372093023,0
2021-12-21,0,BLZ,0,0,0,0.886363636363636,0
2021-12-22,0,BLZ,0,0,0,0.854166666666667,0
2021-12-23,0,BLZ,0,0,0,0.661290322580645,0
2021-12-24,0,BLZ,0,0,0,0.60655737704918,0
2021-12-25,0,BLZ,0,0,0,0.587301587301587,0
2021-12-26,0,BLZ,0,0,0,0.5,0
2021-12-27,0,BLZ,0,0,0,0.444444444444444,0
2021-12-28,0,BLZ,0,0,0,0.278350515463918,0
2021-12-29,0,BLZ,0,0,0,0.219858156028369,0
2021-12-30,0,BLZ,0,0,0,0.189189189189189,0
2021-12-31,0,BLZ,0,0,0,0.155688622754491,0
2022-01-01,0,BLZ,0,0,0,0.146198830409357,0
2022-01-02,0,BLZ,0,0,0,0.138728323699422,0.861271676300578
2022-01-03,0,BLZ,0,0,0,0.136842105263158,0.863157894736842
2022-01-04,0,BLZ,0,0,0,0.112299465240642,0.887700534759358
2022-01-05,0,BLZ,0,0,0,0.0934065934065934,0.906593406593407
