Date,StateCode,StateName,Alpha,Beta,Gamma,Delta,Omicron
2020-10-27,WB,West Bengal,0,0,0,0,0
2020-11-03,WB,West Bengal,0,0,0,0,0
2020-11-04,WB,West Bengal,0,0,0,0,0
2020-11-05,WB,West Bengal,0,0,0,0,0
2020-11-30,WB,West Bengal,0,0,0,0,0
2020-12-01,WB,West Bengal,0,0,0,0,0
2020-12-12,WB,West Bengal,0,0,0,0,0
2020-12-13,WB,West Bengal,0,0,0,0,0
2020-12-14,WB,West Bengal,0,0,0,0,0
2020-12-16,WB,West Bengal,0,0,0,0,0
2020-12-17,WB,West Bengal,0,0,0,0,0
2020-12-18,WB,West Bengal,0,0,0,0,0
2020-12-22,WB,West Bengal,0,0,0,0,0
2020-12-24,WB,West Bengal,0.0235294117647059,0,0,0,0
2020-12-26,WB,West Bengal,0.0172413793103448,0,0,0,0
2020-12-31,WB,West Bengal,0.0181818181818182,0,0,0,0
2021-01-01,WB,West Bengal,0.0192307692307692,0,0,0,0
2021-01-02,WB,West Bengal,0.0188679245283019,0,0,0,0
2021-01-04,WB,West Bengal,0.0192307692307692,0,0,0,0
2021-01-05,WB,West Bengal,0.027027027027027,0,0,0,0
2021-01-06,WB,West Bengal,0.0263157894736842,0,0,0,0
2021-01-07,WB,West Bengal,0.027027027027027,0,0,0,0
2021-01-08,WB,West Bengal,0.0277777777777778,0,0,0,0
2021-01-09,WB,West Bengal,0.0256410256410256,0,0,0,0
2021-01-10,WB,West Bengal,0.0263157894736842,0,0,0,0
2021-01-11,WB,West Bengal,0.027027027027027,0,0,0,0
2021-01-12,WB,West Bengal,0,0,0,0,0
2021-01-13,WB,West Bengal,0,0,0,0,0
2021-01-14,WB,West Bengal,0,0,0,0,0
2021-01-15,WB,West Bengal,0,0,0,0,0
2021-01-16,WB,West Bengal,0,0,0,0,0
2021-01-18,WB,West Bengal,0,0,0,0,0
2021-01-19,WB,West Bengal,0,0,0,0,0
2021-01-20,WB,West Bengal,0,0,0,0,0
2021-01-21,WB,West Bengal,0,0,0,0,0
2021-01-22,WB,West Bengal,0,0,0,0,0
2021-01-23,WB,West Bengal,0,0,0,0,0
2021-01-24,WB,West Bengal,0,0,0,0,0
2021-01-25,WB,West Bengal,0,0,0,0,0
2021-01-26,WB,West Bengal,0,0,0,0,0
2021-01-27,WB,West Bengal,0,0,0,0,0
2021-01-28,WB,West Bengal,0,0,0,0,0
2021-01-29,WB,West Bengal,0,0,0,0,0
2021-01-30,WB,West Bengal,0,0,0,0,0
2021-01-31,WB,West Bengal,0,0,0,0,0
2021-02-01,WB,West Bengal,0,0,0,0,0
2021-02-02,WB,West Bengal,0,0,0,0,0
2021-02-03,WB,West Bengal,0,0,0,0,0
2021-02-04,WB,West Bengal,0.00892857142857143,0,0,0,0
2021-02-05,WB,West Bengal,0.00925925925925926,0,0,0,0
2021-02-06,WB,West Bengal,0.00892857142857143,0,0,0,0
2021-02-07,WB,West Bengal,0.00869565217391304,0,0,0,0
2021-02-08,WB,West Bengal,0.0260869565217391,0,0,0,0
2021-02-09,WB,West Bengal,0.0256410256410256,0,0,0,0
2021-02-10,WB,West Bengal,0.0263157894736842,0,0,0,0
2021-02-11,WB,West Bengal,0.037037037037037,0,0,0,0
2021-02-12,WB,West Bengal,0.04,0,0,0,0
2021-02-13,WB,West Bengal,0.0384615384615385,0,0,0,0
2021-02-14,WB,West Bengal,0.036697247706422,0,0,0,0
2021-02-15,WB,West Bengal,0.036697247706422,0,0,0,0
2021-02-16,WB,West Bengal,0.0377358490566038,0,0,0,0
2021-02-17,WB,West Bengal,0.0336134453781513,0,0,0,0
2021-02-18,WB,West Bengal,0.0413223140495868,0,0,0,0
2021-02-19,WB,West Bengal,0.05,0,0,0,0
2021-02-20,WB,West Bengal,0.0534351145038168,0,0,0,0
2021-02-21,WB,West Bengal,0.0534351145038168,0,0,0,0
2021-02-22,WB,West Bengal,0.0413793103448276,0,0,0,0
2021-02-23,WB,West Bengal,0.0457516339869281,0,0,0,0
2021-02-24,WB,West Bengal,0.0745341614906832,0,0,0,0
2021-02-25,WB,West Bengal,0.0754716981132076,0,0,0,0
2021-02-26,WB,West Bengal,0.087719298245614,0,0,0,0
2021-02-27,WB,West Bengal,0.1,0,0,0,0
2021-02-28,WB,West Bengal,0.113636363636364,0,0,0,0
2021-03-01,WB,West Bengal,0.121546961325967,0,0,0,0
2021-03-02,WB,West Bengal,0.128205128205128,0,0,0,0
2021-03-03,WB,West Bengal,0.134020618556701,0,0,0,0
2021-03-04,WB,West Bengal,0.118811881188119,0,0,0,0
2021-03-05,WB,West Bengal,0.122641509433962,0,0,0,0
2021-03-06,WB,West Bengal,0.128712871287129,0,0,0,0
2021-03-07,WB,West Bengal,0.133971291866029,0,0,0,0
2021-03-08,WB,West Bengal,0.150753768844221,0,0,0,0
2021-03-09,WB,West Bengal,0.167464114832536,0,0,0,0
2021-03-10,WB,West Bengal,0.177884615384615,0,0,0,0
2021-03-11,WB,West Bengal,0.175925925925926,0.0277777777777778,0,0,0
2021-03-12,WB,West Bengal,0.168181818181818,0.0227272727272727,0,0,0
2021-03-13,WB,West Bengal,0.170305676855895,0.0305676855895197,0,0,0
2021-03-14,WB,West Bengal,0.165938864628821,0.0305676855895197,0,0,0
2021-03-15,WB,West Bengal,0.158590308370044,0.0308370044052863,0,0,0
2021-03-16,WB,West Bengal,0.168888888888889,0.0266666666666667,0,0,0
2021-03-17,WB,West Bengal,0.176211453744493,0.026431718061674,0,0.0220264317180617,0
2021-03-18,WB,West Bengal,0.202643171806167,0.0220264317180617,0,0.026431718061674,0
2021-03-19,WB,West Bengal,0.206349206349206,0.0317460317460317,0,0.0238095238095238,0
2021-03-20,WB,West Bengal,0.209486166007905,0.0316205533596838,0,0.0237154150197628,0
2021-03-21,WB,West Bengal,0.20703125,0.0390625,0,0.03125,0
2021-03-22,WB,West Bengal,0.196153846153846,0.0384615384615385,0,0.0346153846153846,0
2021-03-23,WB,West Bengal,0.192452830188679,0.0339622641509434,0,0.0377358490566038,0
2021-03-24,WB,West Bengal,0.185714285714286,0.0428571428571429,0,0.0392857142857143,0
2021-03-25,WB,West Bengal,0.183946488294314,0.040133779264214,0,0.0535117056856187,0
2021-03-26,WB,West Bengal,0.178217821782178,0.0429042904290429,0,0.0627062706270627,0
2021-03-27,WB,West Bengal,0.169811320754717,0.0345911949685535,0,0.0911949685534591,0
2021-03-28,WB,West Bengal,0.174757281553398,0.0355987055016181,0,0.0938511326860841,0
2021-03-29,WB,West Bengal,0.170212765957447,0.0334346504559271,0,0.0911854103343465,0
2021-03-30,WB,West Bengal,0.159217877094972,0.0307262569832402,0,0.120111731843575,0
2021-03-31,WB,West Bengal,0.154034229828851,0.0268948655256724,0,0.149144254278729,0
2021-04-01,WB,West Bengal,0.140043763676149,0.0240700218818381,0,0.185995623632385,0
2021-04-02,WB,West Bengal,0.131403118040089,0.0178173719376392,0,0.220489977728285,0
2021-04-03,WB,West Bengal,0.125,0.0161290322580645,0,0.247983870967742,0
2021-04-04,WB,West Bengal,0.119373776908024,0.0136986301369863,0,0.258317025440313,0
2021-04-05,WB,West Bengal,0.109797297297297,0.0101351351351351,0,0.305743243243243,0
2021-04-06,WB,West Bengal,0.0977198697068404,0.011400651465798,0.00325732899022801,0.330618892508143,0
2021-04-07,WB,West Bengal,0.0814132104454685,0.00614439324116743,0,0.36405529953917,0
2021-04-08,WB,West Bengal,0.0686813186813187,0.00549450549450549,0,0.396978021978022,0
2021-04-09,WB,West Bengal,0.0691562932226833,0.00553250345781466,0,0.408022130013831,0
2021-04-10,WB,West Bengal,0.0679886685552408,0.0056657223796034,0,0.419263456090652,0
2021-04-11,WB,West Bengal,0.0649717514124294,0.00706214689265537,0,0.42090395480226,0
2021-04-12,WB,West Bengal,0.0636758321273517,0.00723589001447178,0,0.43849493487699,0
2021-04-13,WB,West Bengal,0.0553129548762737,0.00873362445414847,0,0.457059679767103,0
2021-04-14,WB,West Bengal,0.046656298600311,0.00777604976671851,0,0.482115085536547,0
2021-04-15,WB,West Bengal,0.0373376623376623,0.00811688311688312,0,0.506493506493507,0
2021-04-16,WB,West Bengal,0.032312925170068,0.00850340136054422,0,0.513605442176871,0
