Date,StateCode,StateName,Alpha,Beta,Gamma,Delta,Omicron
2020-04-09,QC,Québec,0,0,0,0,0
2020-04-10,QC,Québec,0,0,0,0,0
2020-04-11,QC,Québec,0,0,0,0,0
2020-04-12,QC,Québec,0,0,0,0,0
2020-04-13,QC,Québec,0,0,0,0,0
2020-04-14,QC,Québec,0,0,0,0,0
2020-04-15,QC,Québec,0,0,0,0,0
2020-04-16,QC,Québec,0,0,0,0,0
2020-04-17,QC,Québec,0,0,0,0,0
2020-04-18,QC,Québec,0,0,0,0,0
2020-04-19,QC,Québec,0,0,0,0,0
2020-04-20,QC,Québec,0,0,0,0,0
2020-04-21,QC,Québec,0,0,0,0,0
2020-04-22,QC,Québec,0.00157977883096367,0,0,0,0
2020-04-23,QC,Québec,0,0,0,0,0
2020-04-24,QC,Québec,0,0,0,0,0
2020-04-25,QC,Québec,0,0,0,0,0
2020-04-26,QC,Québec,0,0,0,0,0
2020-04-27,QC,Québec,0,0,0,0,0
2020-04-28,QC,Québec,0,0,0,0,0
2020-04-29,QC,Québec,0,0,0,0,0
2020-04-30,QC,Québec,0,0,0,0,0
2020-05-01,QC,Québec,0,0,0,0,0
2020-05-02,QC,Québec,0,0,0,0,0
2020-05-03,QC,Québec,0,0,0,0,0
2020-05-04,QC,Québec,0,0,0,0,0
2020-05-05,QC,Québec,0,0,0,0,0
2020-05-06,QC,Québec,0,0,0,0,0
2020-05-07,QC,Québec,0,0,0,0,0
2020-05-08,QC,Québec,0,0,0,0,0
2020-05-09,QC,Québec,0,0,0,0,0
2020-05-10,QC,Québec,0,0,0,0,0
2020-05-11,QC,Québec,0.00260416666666667,0,0,0,0
2020-05-12,QC,Québec,0.0025706940874036,0,0,0,0
2020-05-13,QC,Québec,0.005,0,0,0,0
2020-05-14,QC,Québec,0.00763358778625954,0,0,0,0
2020-05-15,QC,Québec,0.00740740740740741,0,0,0,0
2020-05-16,QC,Québec,0.00702576112412178,0,0,0,0
2020-05-17,QC,Québec,0.00731707317073171,0,0,0,0
2020-05-18,QC,Québec,0.00947867298578199,0,0,0,0
2020-05-19,QC,Québec,0.0142517814726841,0,0,0,0
2020-05-20,QC,Québec,0.0140845070422535,0,0,0,0
2020-05-21,QC,Québec,0.0138248847926267,0,0,0,0
2020-05-22,QC,Québec,0.014018691588785,0,0,0,0
2020-05-23,QC,Québec,0.0142857142857143,0,0,0,0
2020-05-24,QC,Québec,0.0145985401459854,0,0,0,0
2020-05-25,QC,Québec,0.0128865979381443,0,0,0,0
2020-05-26,QC,Québec,0.0134770889487871,0,0,0,0
2020-05-27,QC,Québec,0.0116959064327485,0,0,0,0
2020-05-28,QC,Québec,0.009375,0,0,0,0
2020-05-29,QC,Québec,0.0102040816326531,0,0,0,0
2020-05-30,QC,Québec,0.0112359550561798,0,0,0,0
2020-05-31,QC,Québec,0.0112781954887218,0,0,0,0
2020-06-01,QC,Québec,0.008,0,0,0,0
2020-06-02,QC,Québec,0.00442477876106195,0,0,0,0
2020-06-03,QC,Québec,0.00523560209424084,0,0,0,0
2020-06-04,QC,Québec,0.00598802395209581,0,0,0,0
2020-06-05,QC,Québec,0.00636942675159236,0,0,0,0
2020-06-06,QC,Québec,0.00689655172413793,0,0,0,0
2020-06-07,QC,Québec,0.00704225352112676,0,0,0,0
2020-06-08,QC,Québec,0.00757575757575758,0,0,0,0
2020-06-09,QC,Québec,0.00854700854700855,0,0,0,0
2020-06-10,QC,Québec,0.00862068965517241,0,0,0,0
2020-06-11,QC,Québec,0.00909090909090909,0,0,0,0
2020-06-12,QC,Québec,0.00970873786407767,0,0,0,0
2020-06-13,QC,Québec,0.00925925925925926,0,0,0,0
2020-06-14,QC,Québec,0.0102040816326531,0,0,0,0
2020-06-15,QC,Québec,0.0103092783505155,0,0,0,0
2020-06-16,QC,Québec,0,0,0,0,0
2020-06-17,QC,Québec,0,0,0,0,0
2020-06-18,QC,Québec,0,0,0,0,0
2020-06-19,QC,Québec,0,0,0,0,0
2020-06-20,QC,Québec,0,0,0,0,0
2020-06-21,QC,Québec,0,0,0,0,0
2020-06-25,QC,Québec,0,0,0,0,0
2020-06-26,QC,Québec,0,0,0,0,0
2020-06-27,QC,Québec,0,0,0,0,0
2020-06-28,QC,Québec,0,0,0,0,0
2020-06-29,QC,Québec,0,0,0,0,0
2020-06-30,QC,Québec,0,0,0,0,0
2020-07-01,QC,Québec,0,0,0,0,0
2020-07-02,QC,Québec,0,0,0,0,0
2020-07-03,QC,Québec,0,0,0,0,0
2020-07-04,QC,Québec,0,0,0,0,0
2020-07-05,QC,Québec,0,0,0,0,0
2020-07-06,QC,Québec,0,0,0,0,0
2020-07-07,QC,Québec,0,0,0,0,0
2020-07-08,QC,Québec,0,0,0,0,0
2020-07-09,QC,Québec,0,0,0,0,0
2020-07-10,QC,Québec,0.0144927536231884,0,0,0,0
2020-07-11,QC,Québec,0.0138888888888889,0,0,0,0
2020-07-12,QC,Québec,0.0138888888888889,0,0,0,0
2020-07-13,QC,Québec,0.0142857142857143,0,0,0,0
2020-07-14,QC,Québec,0.0138888888888889,0,0,0,0
2020-07-15,QC,Québec,0.0142857142857143,0,0,0,0
2020-07-16,QC,Québec,0.0147058823529412,0,0,0,0
2020-07-17,QC,Québec,0.0136986301369863,0,0,0,0
2020-07-19,QC,Québec,0.0142857142857143,0,0,0,0
2020-07-20,QC,Québec,0.0140845070422535,0,0,0,0
2020-07-21,QC,Québec,0.0135135135135135,0,0,0,0
2020-07-22,QC,Québec,0.012987012987013,0,0,0,0
2020-07-23,QC,Québec,0.0128205128205128,0,0,0,0
2020-07-24,QC,Québec,0.0135135135135135,0,0,0,0
2020-07-25,QC,Québec,0,0,0,0,0
2020-07-26,QC,Québec,0,0,0,0,0
2020-07-27,QC,Québec,0,0,0,0,0
2020-07-28,QC,Québec,0,0,0,0,0
2020-07-29,QC,Québec,0,0,0,0,0
2020-07-30,QC,Québec,0,0,0,0,0
2020-07-31,QC,Québec,0,0,0,0,0
2020-08-01,QC,Québec,0,0,0,0,0
2020-08-02,QC,Québec,0,0,0,0,0
2020-08-03,QC,Québec,0,0,0,0,0
2020-08-04,QC,Québec,0,0,0,0,0
2020-08-05,QC,Québec,0,0,0,0,0
2020-08-06,QC,Québec,0,0,0,0,0
2020-08-07,QC,Québec,0,0,0,0,0
2020-08-08,QC,Québec,0,0,0,0,0
2020-08-09,QC,Québec,0,0,0,0,0
2020-08-10,QC,Québec,0,0,0,0,0
2020-08-11,QC,Québec,0,0,0,0,0
2020-08-12,QC,Québec,0,0,0,0,0
2020-08-13,QC,Québec,0,0,0,0,0
2020-08-14,QC,Québec,0,0,0,0,0
2020-08-15,QC,Québec,0,0,0,0,0
2020-08-16,QC,Québec,0,0,0,0,0
2020-08-17,QC,Québec,0,0,0,0,0
2020-08-18,QC,Québec,0,0,0,0,0
2020-08-19,QC,Québec,0,0,0,0,0
2020-08-20,QC,Québec,0,0,0,0,0
2020-08-21,QC,Québec,0,0,0,0,0
2020-08-22,QC,Québec,0,0,0,0,0
2020-08-23,QC,Québec,0,0,0,0,0
2020-08-24,QC,Québec,0,0,0,0,0
2020-08-25,QC,Québec,0,0,0,0,0
2020-08-26,QC,Québec,0,0,0,0,0
2020-08-27,QC,Québec,0,0,0,0,0
