Date,StateCode,StateName,Alpha,Beta,Gamma,Delta,Omicron
2021-01-11,SK,Saskatchewan,0,0,0,0,0
2021-01-12,SK,Saskatchewan,0,0,0,0,0
2021-01-13,SK,Saskatchewan,0,0,0,0,0
2021-01-14,SK,Saskatchewan,0,0,0,0,0
2021-01-15,SK,Saskatchewan,0,0,0,0,0
2021-01-16,SK,Saskatchewan,0,0,0,0,0
2021-01-17,SK,Saskatchewan,0,0,0,0,0
2021-01-18,SK,Saskatchewan,0,0,0,0,0
2021-01-19,SK,Saskatchewan,0,0,0,0,0
2021-01-20,SK,Saskatchewan,0,0,0,0,0
2021-01-21,SK,Saskatchewan,0,0,0,0,0
2021-01-22,SK,Saskatchewan,0,0,0,0,0
2021-01-23,SK,Saskatchewan,0,0,0,0,0
2021-01-24,SK,Saskatchewan,0.0251046025104602,0,0,0,0
2021-01-25,SK,Saskatchewan,0.0210970464135021,0,0,0,0
2021-01-26,SK,Saskatchewan,0.0223214285714286,0,0,0,0
2021-01-27,SK,Saskatchewan,0.0179372197309417,0,0,0,0
2021-01-28,SK,Saskatchewan,0.0186046511627907,0,0,0,0
2021-01-29,SK,Saskatchewan,0.0412844036697248,0,0,0,0
2021-01-30,SK,Saskatchewan,0.0405405405405405,0,0,0,0
2021-01-31,SK,Saskatchewan,0.04,0,0,0,0
2021-02-01,SK,Saskatchewan,0.036697247706422,0,0,0,0
2021-02-02,SK,Saskatchewan,0.0416666666666667,0,0,0,0
2021-02-03,SK,Saskatchewan,0.0469483568075117,0,0,0,0
2021-02-04,SK,Saskatchewan,0.0506912442396313,0,0,0,0
2021-02-05,SK,Saskatchewan,0.0531400966183575,0,0,0,0
2021-02-06,SK,Saskatchewan,0.0643564356435644,0,0,0,0
2021-02-07,SK,Saskatchewan,0.0792079207920792,0,0,0,0
2021-02-08,SK,Saskatchewan,0.0862944162436548,0,0,0,0
2021-02-09,SK,Saskatchewan,0.100502512562814,0,0,0,0
2021-02-10,SK,Saskatchewan,0.111111111111111,0,0,0,0
2021-02-11,SK,Saskatchewan,0.110576923076923,0,0,0,0
2021-02-12,SK,Saskatchewan,0.106280193236715,0,0,0,0
2021-02-13,SK,Saskatchewan,0.120772946859903,0,0,0,0
2021-02-14,SK,Saskatchewan,0.133971291866029,0,0,0,0
2021-02-15,SK,Saskatchewan,0.140776699029126,0,0,0,0
2021-02-16,SK,Saskatchewan,0.174757281553398,0,0,0,0
2021-02-17,SK,Saskatchewan,0.192307692307692,0,0,0,0
2021-02-18,SK,Saskatchewan,0.208333333333333,0,0,0,0
2021-02-19,SK,Saskatchewan,0.242152466367713,0,0,0,0
2021-02-20,SK,Saskatchewan,0.240343347639485,0,0,0,0
2021-02-21,SK,Saskatchewan,0.240343347639485,0,0,0.00429184549356223,0
2021-02-22,SK,Saskatchewan,0.258928571428571,0,0,0,0
2021-02-23,SK,Saskatchewan,0.247863247863248,0,0,0,0
2021-02-24,SK,Saskatchewan,0.243697478991597,0,0,0,0
2021-02-25,SK,Saskatchewan,0.267206477732794,0,0,0,0
2021-02-26,SK,Saskatchewan,0.273469387755102,0,0,0,0
2021-02-27,SK,Saskatchewan,0.274193548387097,0,0,0,0
2021-02-28,SK,Saskatchewan,0.266129032258065,0,0,0,0
2021-03-01,SK,Saskatchewan,0.262548262548263,0,0,0,0
2021-03-02,SK,Saskatchewan,0.239382239382239,0,0,0,0
2021-03-03,SK,Saskatchewan,0.247148288973384,0,0,0,0
